instanceID	label	comment	annotator
pair_a_(Philippians 4:13)	4		gold_annotator
pair_b_(Job 1:1)	1		gold_annotator
pair_c_(Job 1:1)	2		gold_annotator
pair_d_(1 Peter 4:7)	3		gold_annotator
pair_e_(Job 1:1)	4		gold_annotator
pair_f_(Zechariah 10:1)	3		gold_annotator
pair_g_(Proverbs 1:8)	3		gold_annotator
pair_h_(Zechariah 10:1)	2		gold_annotator
pair_i_(1 Peter 4:7)	1		gold_annotator
pair_l_(Matthew 5:9)	2		gold_annotator
pair_m_(Luke 24:15)	4		gold_annotator
pair_n_(1 Peter 4:7)	1		gold_annotator
pair_o_(Luke 24:15)	3		gold_annotator
pair_p_(1 Timothy 6:10)	4		gold_annotator
pair_q_(Luke 24:15)	1		gold_annotator
pair_r_(Zechariah 10:1)	2		gold_annotator
pair_s_(Matthew 5:9)	1		gold_annotator
pair_t_(Song of songs 8:6)	3		gold_annotator
pair_u_(Proverbs 1:8)	2		gold_annotator
pair_v_(Revelation 12:3)	1		gold_annotator
pair_z_(Proverbs 1:8)	3		gold_annotator
pair_k_(Matthew 5:9)	4		gold_annotator
pair_w_(Song of songs 8:6)	1		gold_annotator
pair_j_(Matthew 6:9)	4		gold_annotator
pair_x_(Mark 11:24)	4		gold_annotator
