identifier1	identifier2	annotator	judgment	comment	lemma	timestamp
78_(1 John 4:8)-c2	76_(1 John 4:8)-c2	Nisha	2.0		Whoever_does_not_love_does_not_know_God_because_God_is_love	
78_(1 John 4:8)-c2	76_(1 John 4:8)-c2	AndreaMariaC	3.0		Whoever_does_not_love_does_not_know_God_because_God_is_love	
78_(1 John 4:8)-c2	76_(1 John 4:8)-c2	shur	3.0		Whoever_does_not_love_does_not_know_God_because_God_is_love	
89_(1 John 4:8)-c1	76_(1 John 4:8)-c2	AndreaMariaC	3.0		Whoever_does_not_love_does_not_know_God_because_God_is_love	
89_(1 John 4:8)-c1	76_(1 John 4:8)-c2	shur	3.0		Whoever_does_not_love_does_not_know_God_because_God_is_love	
89_(1 John 4:8)-c1	76_(1 John 4:8)-c2	Nisha	3.0		Whoever_does_not_love_does_not_know_God_because_God_is_love	
80_(1 John 4:8)-c2	76_(1 John 4:8)-c2	AndreaMariaC	3.0		Whoever_does_not_love_does_not_know_God_because_God_is_love	
80_(1 John 4:8)-c2	76_(1 John 4:8)-c2	Nisha	3.0		Whoever_does_not_love_does_not_know_God_because_God_is_love	
80_(1 John 4:8)-c2	76_(1 John 4:8)-c2	shur	3.0		Whoever_does_not_love_does_not_know_God_because_God_is_love	
81_(1 John 4:8)-c2	76_(1 John 4:8)-c2	Nisha	3.0		Whoever_does_not_love_does_not_know_God_because_God_is_love	
81_(1 John 4:8)-c2	76_(1 John 4:8)-c2	AndreaMariaC	2.0		Whoever_does_not_love_does_not_know_God_because_God_is_love	
81_(1 John 4:8)-c2	76_(1 John 4:8)-c2	shur	3.0		Whoever_does_not_love_does_not_know_God_because_God_is_love	
84_(1 John 4:8)-c2	76_(1 John 4:8)-c2	AndreaMariaC	3.0		Whoever_does_not_love_does_not_know_God_because_God_is_love	
84_(1 John 4:8)-c2	76_(1 John 4:8)-c2	Nisha	3.0		Whoever_does_not_love_does_not_know_God_because_God_is_love	
84_(1 John 4:8)-c2	76_(1 John 4:8)-c2	shur	3.0		Whoever_does_not_love_does_not_know_God_because_God_is_love	
78_(1 John 4:8)-c2	77_(1 John 4:8)-c1	AndreaMariaC	3.0		Whoever_does_not_love_does_not_know_God_because_God_is_love	
78_(1 John 4:8)-c2	77_(1 John 4:8)-c1	Nisha	4.0		Whoever_does_not_love_does_not_know_God_because_God_is_love	
78_(1 John 4:8)-c2	77_(1 John 4:8)-c1	shur	4.0		Whoever_does_not_love_does_not_know_God_because_God_is_love	
75_(1 John 4:8)-c2	77_(1 John 4:8)-c1	Nisha	3.0		Whoever_does_not_love_does_not_know_God_because_God_is_love	
75_(1 John 4:8)-c2	77_(1 John 4:8)-c1	AndreaMariaC	3.0		Whoever_does_not_love_does_not_know_God_because_God_is_love	
75_(1 John 4:8)-c2	77_(1 John 4:8)-c1	shur	4.0		Whoever_does_not_love_does_not_know_God_because_God_is_love	
83_(1 John 4:8)-c2	77_(1 John 4:8)-c1	Nisha	3.0		Whoever_does_not_love_does_not_know_God_because_God_is_love	
83_(1 John 4:8)-c2	77_(1 John 4:8)-c1	AndreaMariaC	3.0		Whoever_does_not_love_does_not_know_God_because_God_is_love	
83_(1 John 4:8)-c2	77_(1 John 4:8)-c1	shur	3.0		Whoever_does_not_love_does_not_know_God_because_God_is_love	
89_(1 John 4:8)-c1	77_(1 John 4:8)-c1	Nisha	2.0		Whoever_does_not_love_does_not_know_God_because_God_is_love	
89_(1 John 4:8)-c1	77_(1 John 4:8)-c1	AndreaMariaC	3.0		Whoever_does_not_love_does_not_know_God_because_God_is_love	
89_(1 John 4:8)-c1	77_(1 John 4:8)-c1	shur	4.0		Whoever_does_not_love_does_not_know_God_because_God_is_love	
80_(1 John 4:8)-c1	77_(1 John 4:8)-c1	AndreaMariaC	3.0		Whoever_does_not_love_does_not_know_God_because_God_is_love	
80_(1 John 4:8)-c1	77_(1 John 4:8)-c1	Nisha	3.0		Whoever_does_not_love_does_not_know_God_because_God_is_love	
