lemma,topic_variation
A wife of noble character who can find? She is worth far more than rubies,0.2724624225640697
"Anxiety weighs down the heart, but a kind word cheers it up",0.32217048710601714
Be strong and courageous. Do not be afraid,0.17931541857043287
Better is open rebuke than hidden love,0.22790010108456893
"But I suffer not a woman to teach, nor to usurp authority",0.000208250743931937
"Come to me, all you who labour and are overburdened, and I shall give you rest",0.3951612903225806
For everything there is a season,0.37476028247185433
"For we walk by faith, not by sight",0.18409742120343842
Give to Caesar what belongs to Caesar,0.42256621706618214
Greater love has no one than this: to lay down one's life for one's friends,0.40122700804140865
"Hatred stirs up conflict, but love covers over all wrongs",0.352680131385841
"Husbands, love your wives, as Christ loved the church",0.14500960499848004
I can do all things through Christ who strengthens me,0.2819204696344958
If a man lies with a male as with a woman,0.0808681174010687
In the beginning God created the heaven,0.3209169054441261
"Judge not, that ye be not judged",0.4484240687679083
"Love is patient, love is kind",0.15257879656160456
Love one another with brotherly affection,0.35352970811423534
Love your enemies and pray for those who persecute you,0.3970559852725032
My command is this: Love each other as I have loved you,0.32045225741500816
Now faith is confidence in what we hope for and assurance about what we do not see,0.23910508429399602
Seek and you will find,0.4930721827530714
Seventy times seven,0.27797171742135796
"The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart",0.28008595988538676
The Lord is my shepherd,0.4577870001245795
The Lord will keep you from all harm,0.011403858235140896
"The heart is deceitful above all things, and desperately wicked; who can know it?",0.3444595063409871
"The rain came down, the streams rose, and the winds blew",0.30300478570993117
"Therefore, if anyone is in Christ, he is a new creation. The old has passed away; behold, the new has come",0.3047078777288088
"They have sown the wind, and they shall reap the whirlwind",0.3491767745000519
This is the day that the Lord has made; let us rejoice and be glad in it,0.2055134234458702
"Whoever does not love does not know God, because God is love",0.0
"You are altogether beautiful, my darling; there is no flaw in you",0.25253546528422977
You shall have no other gods before me,0.31644622390503474
You shall not lie with a male as with a woman; it is an abomination,0.30351062394336015
all things work together for good,0.48336947262448693
that all may be one,0.2802331514699533
the truth will set you free,0.4047277936962751
turn the other cheek,0.44727560109629994
"you are precious in my eyes and honored, and I love you",0.3768482907619938
