instanceID	label	comment	annotator
pair_26_(Ephesians 5:25)	4		shur
pair_38_(Jeremiah 17:9)	1		shur
pair_66_(Exodus 20:3)	2		AndreaMariaC
pair_20_(Ephesians 5:25)	4		AndreaMariaC
pair_51_(2 Corinthians 5:17)	2		AndreaMariaC
pair_76_(Hebrews 11:1)	1		Nisha
pair_140_(1 Samuel 16:7)	2		Nisha
pair_28_(1 Samuel 16:7)	2		Nisha
pair_33_(Hebrews 11:1)	2		Nisha
pair_108_(Jeremiah 17:9)	4		Nisha
pair_3_(Ephesians 5:25)	4		Nisha
pair_85_(Hebrews 11:1)	1		Nisha
pair_0_(Ephesians 5:25)	3		Nisha
pair_89_(Hebrews 11:1)	1		Nisha
pair_52_(2 Corinthians 5:17)	1		Nisha
pair_148_(Hebrews 11:1)	1		Nisha
pair_124_(Genesis 1:1)	1		Nisha
pair_70_(John 8:32)	1		Nisha
pair_60_(1 John 4:8)	2		Nisha
pair_10_(Exodus 20:3)	1		Nisha
pair_89_(2 Corinthians 5:17)	2		Nisha
pair_22_(1 Samuel 16:7)	3		Nisha
pair_24_(Genesis 1:1)	1		Nisha
pair_126_(2 Corinthians 5:7)	1		Nisha
pair_106_(2 Corinthians 5:17)	3		Nisha
pair_25_(John 8:32)	1		Nisha
pair_140_(Ephesians 5:25)	3		Nisha
pair_30_(John 8:32)	1		Nisha
pair_2_(Exodus 20:3)	1		Nisha
pair_115_(1 John 4:8)	1		Nisha
pair_108_(Ephesians 5:25)	3		Nisha
pair_75_(2 Corinthians 5:17)	1		Nisha
pair_120_(2 Corinthians 5:7)	4		Nisha
pair_52_(Genesis 1:1)	2		Nisha
pair_42_(1 Samuel 16:7)	3		Nisha
pair_83_(1 Samuel 16:7)	1		Nisha
pair_35_(Exodus 20:3)	2		Nisha
pair_72_(2 Corinthians 5:17)	1		Nisha
pair_103_(Hebrews 11:1)	2		Nisha
pair_10_(Jeremiah 17:9)	1		Nisha
pair_128_(John 8:32)	1		Nisha
pair_15_(1 Samuel 16:7)	1		Nisha
pair_43_(1 John 4:8)	3		Nisha
pair_20_(1 Samuel 16:7)	2		Nisha
pair_51_(Genesis 1:1)	2		Nisha
pair_91_(2 Corinthians 5:17)	1		Nisha
pair_81_(Hebrews 11:1)	2		Nisha
pair_61_(1 John 4:8)	1		Nisha
pair_71_(1 John 4:8)	3		Nisha
pair_128_(Genesis 1:1)	2		Nisha
pair_81_(2 Corinthians 5:17)	1		Nisha
pair_67_(2 Corinthians 5:17)	1		Nisha
pair_112_(John 8:32)	3		Nisha
pair_49_(Genesis 1:1)	2		Nisha
pair_128_(Hebrews 11:1)	3		Nisha
pair_3_(1 John 4:8)	3		Nisha
pair_92_(John 8:32)	1		Nisha
pair_13_(Genesis 1:1)	3		Nisha
pair_8_(Hebrews 11:1)	1		Nisha
pair_36_(2 Corinthians 5:17)	1		Nisha
pair_78_(Jeremiah 17:9)	1		Nisha
pair_5_(Hebrews 11:1)	1		Nisha
pair_48_(1 Samuel 16:7)	1		Nisha
pair_97_(John 8:32)	1		Nisha
pair_73_(1 Samuel 16:7)	2		Nisha
pair_37_(Genesis 1:1)	2		Nisha
pair_56_(2 Corinthians 5:17)	1		Nisha
pair_141_(1 John 4:8)	3		Nisha
pair_123_(Exodus 20:3)	3		Nisha
pair_71_(Hebrews 11:1)	1		Nisha
pair_91_(1 Samuel 16:7)	1		Nisha
pair_112_(Genesis 1:1)	2		Nisha
pair_43_(Ephesians 5:25)	2		Nisha
pair_52_(2 Corinthians 5:7)	3		Nisha
pair_89_(1 John 4:8)	3		Nisha
pair_91_(1 John 4:8)	3		Nisha
pair_13_(Exodus 20:3)	2		Nisha
pair_125_(Hebrews 11:1)	1		Nisha
pair_60_(John 8:32)	2		Nisha
pair_104_(1 Samuel 16:7)	1		Nisha
pair_88_(1 John 4:8)	2		Nisha
pair_101_(Genesis 1:1)	1		Nisha
pair_50_(1 John 4:8)	3		Nisha
pair_51_(Hebrews 11:1)	1		Nisha
pair_140_(Exodus 20:3)	2		Nisha
pair_24_(John 8:32)	1		Nisha
pair_64_(2 Corinthians 5:17)	2		Nisha
