dataID	context	indices_target_token	indices_target_sentence	lemma
319_(Matthew 5:39)-c2	What blows my mind is you act like a caring American, but say nothing about the mountains of crimes being exposed by Clinton, Bush, Biden all with far more sinister crimes and you turn the other cheek. They've spent 7 years failing to prove Trump has done wrong, yet you continue. Wake up!	180:200	0:289	turn the other cheek
324_(Matthew 5:39)-c2	Forgiveness is not fard in Islam. Islam is not Christianity where you turn the other cheek. If you have watched tate you can see he is 100% guilty cuz he selfsnitched like no tomorrow. I am one who does not forgive those who abuse children or women in ANY way	70:90	0:259	turn the other cheek
325_(Matthew 5:39)-c1	The world would be a better place if we were all Matthew 5:38-42 - turn the other cheek - humans.  Instead we are Leviticus 24:19-21 humans - eye for an eye -. Leviticus type revenge definitively feels better in the moment but seems to create a vicious cycle of violence and hate.	67:87	0:280	turn the other cheek
328_(Matthew 5:39)-c1	You have wisdom well beyond your years. Turn the other cheek and ignore them Anis. You're the bigger man. 👍🏻	40:60	0:108	turn the other cheek
321_(Matthew 5:39)-c2	I've tried to listen so many times just to get the info on their future plans, but the derision of American citizens are unbearable. The lies and insults of and to us is so obvious a 2 year old can understand how much Biden despises us. It's hard to turn the other cheek.	250:270	0:271	turn the other cheek
320_(Matthew 5:39)-c1	Man and woman  are to love their neighbor, turn the other cheek, go the extra mile, forgive 7X70 and judge not that you be not judged. That is in addition to caring for their children. If we all did that their would be peace	43:63	0:224	turn the other cheek
322_(Matthew 5:39)-c1	Never let anyone steal your joy. Life is too short to care what anyone else thinks. Turn the other cheek, and go about your day. No reaction, is often the best reaction.	84:104	0:169	turn the other cheek
326_(Matthew 5:39)-c2	This infuriates me. Trump need to be exposed.  There is are people who actually think he is the American Disciple.  His grip on huge portions of our country will continue unless we show them how bad he is. Biden is a good man but sometimes you can't turn the other cheek.	250:270	0:271	turn the other cheek
319_(Matthew 5:39)-c1	Be the bigger person, turn the other cheek.	22:42	0:43	turn the other cheek
329_(Matthew 5:39)-c2	The truth is the majority of people either don't care or actively hate us as LGBT people. Kind of over this turn the other cheek bullshit.	108:208	0:138	turn the other cheek
328_(Matthew 5:39)-c2	The truth is the majority of people either don't care or actively hate us as LGBT people. Kind of over this turn the other cheek bullshit.	108:208	0:138	turn the other cheek
324_(Matthew 5:39)-c1	Sometimes it's better to turn the other cheek, smile and then never put yourself in the same position	25:45	0:101	turn the other cheek
317_(Matthew 5:39)-c1	TURN THE OTHER CHEEK: a phrase in Christian doctrine from the Sermon on the Mount that refers to responding to insult without retort and allowing more insult. This passage is interpreted as accepting one's predicament, commanding nonresistance or advocating Christian pacifism.	0:20	0:277	turn the other cheek
330_(Matthew 5:39)-c2	I don't even think the theft story is true but why does the LGBT+ and other minority communities have to always turn the other cheek in the face of oppression? how are we labelled as just as bad as our oppressors for being angry?? it makes me so angry	112:132	0:251	turn the other cheek
329_(Matthew 5:39)-c1	Here's my positive statement. We should all emulate Christ. Not just in one aspect of our lives, but across the board. Turn the other cheek, be humble, be kind, care for the poor, embrace and love those who have less than we do. With love, I hope you take this to heart.	119:139	0:270	turn the other cheek
316_(Matthew 5:39)-c1	Twitter can be a ruff place, but don't let the haters get you down. Use their negativity as fuel to push yourself even higher. Rise above the trolls and turn the other cheek until they realize how the world works!	153:173	0:213	turn the other cheek
318_(Matthew 5:39)-c2	Biden held back w negative comments for over a year, giving GOP the chance to show they have the capacity to cooperate and work FOR the American people.  GOP, Ronna continually shows us who they are. There comes a point where one Must not turn the other cheek.	239:259	0:260	turn the other cheek
322_(Matthew 5:39)-c2	Uthman, I totally agree with you but they insulted Islam first, we can't turn the other cheek because they insulted Allah. Allah said... If they violate you, then violate them the same way they violated you. If they violated Allah, then they violated all of us. Keep dissing the Hindus and show them their place Sayyid Qutb. If they stop, then you can stop and you can use kind words.	73:93	0:384	turn the other cheek
320_(Matthew 5:39)-c2	All of this crap needs to stop. We need to fight for American rights which r being taken away. Where r the republicans and why aren't they fighting for us. Everyone knows Biden's r spies and will ruin this country. You can't turn the other cheek. That just makes it easier for ...	225:245	0:280	turn the other cheek
323_(Matthew 5:39)-c2	The worst mistake anyone can ever make is to think that the Igbos will forever turn the other cheek. No they won't. Every bully in life gets his day. And that's just how nature has made it. I only have fear for the day the Igbos finally say, "enough is enough!". Igbos are a very	79:99	0:279	turn the other cheek
321_(Matthew 5:39)-c1	You're putrid and disgusting - your timeline is all hate, but you're a Christian 😍 Love your neighbour as you love yourself - Do unto others as you'd have them do unto you - turn the other cheek - judge not! It would be impossible to be a bigger hypocrite than you ❤️	174:194	0:267	turn the other cheek
317_(Matthew 5:39)-c2	How often do you expect President Biden to turn the other cheek when all you do is lie & slap him in the face. You reject bipartisanship, and then complain about the lack of bipartisanship. Biden didn't call all Republicans semi-fascist. He called MAGA Republicans semi-fascist.	43:63	0:278	turn the other cheek
316_(Matthew 5:39)-c2	Well, Since Joe Biden is encouraging violence  on half of the American People?  No doubt, we'll be seeing more and more of it.  This "turn the other cheek" thing, can only go so far.  Before people start getting hurt.	134:154	0:217	turn the other cheek
325_(Matthew 5:39)-c2	Muslims scriptures tell them to fight back. Christian scriptures tell us endure abuse, & turn the other cheek.	89:109	0:110	turn the other cheek
330_(Matthew 5:39)-c1	Turn the other cheek, and love your enemies. That is the true marker of being kind, and even if you fight back, fight back fairly, never unfairly.	0:20	0:146	turn the other cheek
323_(Matthew 5:39)-c1	Be pure of heart. Have mercy. Make peace. Turn the other cheek. Love your enemy. Judge not, lest ye be judged.	42:62	0:110	turn the other cheek
327_(Matthew 5:39)-c2	Exactly, black, native american, hispanic (specific groups), and progressive white ppl banded together. That's unity. That's who Biden needs to focus on and we'll unite again to ensure he gets 4 more years. Turn the other cheek is dead turn back w/a sledge hammer is appropriate.	207:227	0:279	turn the other cheek
327_(Matthew 5:39)-c1	Actually compassion, forgiveness and kindness are much better ways of living in the world. I'd rather turn the other cheek than live such a miserable and hypervigilant life with a chip on my shoulder. May you find the peace that leads you to see.	102:122	0:246	turn the other cheek
318_(Matthew 5:39)-c1	I tell my son to treat all people with respect. And to turn the other cheek, at least for the first offence	55:75	0:107	turn the other cheek
326_(Matthew 5:39)-c1	I think there's a better way forward-- for that little guy and all the innocent children. It's possible to live in a world where you don't have to fear the others. Violent conflict has only brought misery. Turn the other cheek. Try something new. Be the bigger men. Be safe.	206:226	0:274	turn the other cheek
