dataID	context	indices_target_token	indices_target_sentence	lemma
367_(Matthew 7:1)	Judge not, that ye be not judged. In other words, when you decided to become a critic of others, know that you open yourself to criticism from..	0:32	0:144	Judge not, that ye be not judged
382_(Matthew 7:1)	Judge not, that ye be not judged. Where in the Bible does it say alcohol is sin? Book, chapter and verse please.	0:32	0:112	Judge not, that ye be not judged
361_(Matthew 7:1)	Why do you hate people who are different than you? Judge not, that ye be not judged	51:83	0:83	Judge not, that ye be not judged
376_(Matthew 7:1)	Just like alcohol, dancing, premarital sex, abortion, marrying out of a religion.... if you don't believe in it don't do it. That's your right. In all other things "Judge not, that ye be not judged". It's in your book. The law and Constitution apply to you also.	165:197	0:262	Judge not, that ye be not judged
386_(Matthew 7:1)	Judge not, that ye be not judged by your taste in anime men	0:32	0:59	Judge not, that ye be not judged
387_(Matthew 7:1)	Judge not, that ye be not judged, but this lady is a real jerk!	0:32	0:63	Judge not, that ye be not judged
371_(Matthew 7:1)	Whatever happened to "Live and let live"? What about the biblical "Judge not, that ye be not judged"? I say "Vive la difference." How dull would life be if we were all exactly the same? Go live your life and be happy but allow everyone else to do the same.	67:99	0:256	Judge not, that ye be not judged
374_(Matthew 7:1)	Exactly. Judge not, that ye be not judged. Is NOT in the Bible. It's a cute coined phrase that sinners use to justify their sin while the meaning of the CONTEXT means to judge those who you don't have a sin in.	9:41	0:210	Judge not, that ye be not judged
383_(Matthew 7:1)	If drinking alcohol is a sin why did Jesus turn water into wine? He also said a few other bits like "Judge not, that ye be not judged"	101:133	0:134	Judge not, that ye be not judged
385_(Matthew 7:1)	I have more alcohol in my apartment than food, but Judge not, that ye be not judged.	51:83	0:84	Judge not, that ye be not judged
380_(Matthew 7:1)	40% of the people in jails in the world are in for drugs. Of course, those are just the ones that get caught. Every single person in this world turns to something for comfort. For some, it is food, sex, alcohol, cigarettes, and yes, drugs. Judge not, that ye be not judged.	240:272	0:273	Judge not, that ye be not judged
369_(Matthew 7:1)	I am so sick of all these people waging war on the LGTBQ community. Let them live their lives the way they want. Republicans call them grommers, yet fail to call gun manufacturers grommers for mass shootings! Judge not, that ye be not judged by the same measure	209:241	0:261	Judge not, that ye be not judged
381_(Matthew 7:1)	They can only be used in certain shops, so maybe she used cash elsewhere. Alcohol is the only way some people can get through their lives. Judge not, that ye be not judged. Be kind.	139:171	0:181	Judge not, that ye be not judged
364_(Matthew 7:1)	Judge not, that ye be not judged is in reference to falsely judging people.. Judging people with righteous judgment is a commandment	0:32	0:132	Judge not, that ye be not judged
368_(Matthew 7:1)	Baloney. Live and let live. Love your neighbor as yourself. Judge not, that ye be not judged. And so forth.	60:92	0:107	Judge not, that ye be not judged
363_(Matthew 7:1)	I'm anti-alphabet, but it's wrong to judge a book by its cover. Judge not, that ye be not judged.	64:96	0:97	Judge not, that ye be not judged
370_(Matthew 7:1)	Now I know the Good Book says "Judge not, that ye be not judged", but I'm just gonna come right out and say it: this Ghislaine Maxwell... I mean this girl was a real jerk!	31:63	0:171	Judge not, that ye be not judged
379_(Matthew 7:1)	Metallica famously wrote a song called 'Holier Than Thou'. The lyrics read: 'You lie so much you believe yourself, Judge not, that ye be not judged.' 	115:147	0:150	Judge not, that ye be not judged
384_(Matthew 7:1)	When it comes to alcohol, my philosophy is Judge not, that ye be not judged.	43:75	0:76	Judge not, that ye be not judged
