lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
The_Lord_does_not_look_at_the_things_people_look_at._People_look_at_the_outward_appearance_but_the_Lord_looks_at_the_heart				149_(1 Samuel 16:7)-c2		"You're nose is beautiful the way God made it. Ignore them.""The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart."""	59:182	0:184
The_Lord_does_not_look_at_the_things_people_look_at._People_look_at_the_outward_appearance_but_the_Lord_looks_at_the_heart				145_(1 Samuel 16:7)-c2		We are the only ones making an issue about the genital apparatus of our bodies. Judgment Day won't be about skin. The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart	114:237	0:237
The_Lord_does_not_look_at_the_things_people_look_at._People_look_at_the_outward_appearance_but_the_Lord_looks_at_the_heart				148_(1 Samuel 16:7)-c1		The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart. It is NOT your job to ridicule, name call, and pass judgment on others.	0:123	0:196
The_Lord_does_not_look_at_the_things_people_look_at._People_look_at_the_outward_appearance_but_the_Lord_looks_at_the_heart				143_(1 Samuel 16:7)-c2		Hey Christians... Guess what?  God says trans rights.  Yup, it's canon in the Bibleverse! Check it out: The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart  😊 This establishes that God sees people by their heart/soul/mind, not their body. This has been my Woomy Talk! 😁	104:227	0:341
The_Lord_does_not_look_at_the_things_people_look_at._People_look_at_the_outward_appearance_but_the_Lord_looks_at_the_heart				139_(1 Samuel 16:7)-c1		"Our value is not based on the standards of this fallen world. Our value is found in Jesus Christ and who He declares us to be! ""The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart."""	128:251	0:253
The_Lord_does_not_look_at_the_things_people_look_at._People_look_at_the_outward_appearance_but_the_Lord_looks_at_the_heart				147_(1 Samuel 16:7)-c1		The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart. In the eyes of God, we are beautiful and infinitely valuable. That is because He knows our heart. ❤️	0:123	0:225
The_Lord_does_not_look_at_the_things_people_look_at._People_look_at_the_outward_appearance_but_the_Lord_looks_at_the_heart				135_(1 Samuel 16:7)-c2		"Transgenderism is a contradiction of God. God does not make mistakes. God doesn't put people in the 'wrong body'""The LORD does not look at the things people look at. People look at the outward appearance, but the LORD looks at the heart."""	113:236	0:238
The_Lord_does_not_look_at_the_things_people_look_at._People_look_at_the_outward_appearance_but_the_Lord_looks_at_the_heart				149_(1 Samuel 16:7)-c1		The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart. STOP JUDGE!	0:123	0:136
The_Lord_does_not_look_at_the_things_people_look_at._People_look_at_the_outward_appearance_but_the_Lord_looks_at_the_heart				140_(1 Samuel 16:7)-c1		The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart. This is so true, not liking someone is not about their gender, race, nationality, or sexual orientation, it's about their values, their moral character.	0:123	0:277
The_Lord_does_not_look_at_the_things_people_look_at._People_look_at_the_outward_appearance_but_the_Lord_looks_at_the_heart				144_(1 Samuel 16:7)-c1		"""The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart."" O Lord, help us not to judge others by appearance alone but strive to discern their inner qualities. Amen."	1:124	0:233
The_Lord_does_not_look_at_the_things_people_look_at._People_look_at_the_outward_appearance_but_the_Lord_looks_at_the_heart				148_(1 Samuel 16:7)-c2		The color of His skin is not important. But the Lord said to Samuel, the Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart.	69:192	0:193
The_Lord_does_not_look_at_the_things_people_look_at._People_look_at_the_outward_appearance_but_the_Lord_looks_at_the_heart				142_(1 Samuel 16:7)-c2		"To every Christian that believes Trans hate is justified: The Lord does not look at the things people look at. People look at the outward appearance, but the Lord looks at the heart."""	58:181	0:183
