dataID	context	indices_target_token	indices_target_sentence	lemma
1119_(Hebrews 11:1)	What is the basis of our faith in the resurrection? The Scriptures tell us that "Now faith is confidence in what we hope for and assurance about what we do not see." Faith is an entirely free gift that God makes to us. Faith also seeks understanding. ❌	81:163	0:252	Now faith is confidence in what we hope for and assurance about what we do not see
1110_(Hebrews 11:1)	"Now faith is confidence in what we hope for and assurance about what we do not see." Your faith can see	1:83	0:104	Now faith is confidence in what we hope for and assurance about what we do not see
1138_(Hebrews 11:1)	"Now faith is confidence in what we hope for and assurance about what we do not see"Amen! For those who have ears to hear and eyes to see through all the fear-mongering distractions, division, deception, dystopian pushers who transgress against God!	1:83	0:249	Now faith is confidence in what we hope for and assurance about what we do not see
1122_(Hebrews 11:1)	Evidence? 'Now faith is confidence in what we hope for and assurance about what we do not see'Faith! Wind moves the tree branches and you can feel a breeze on your face, but do you see the wind? It is the same with the Holy Spirit. You do not see the Spirit with human eyes, but can experience His presence and see His work in human lives: renewing minds, changing hearts, leading and guiding. Only hardened hearts and unenlightened souls think Jesus has failed the world. Jesus doesn't value women less than men. He actually restored earlier lost traditions of treating women as equals. One of His closest followers was a woman - Mary Magdalene - and she was the first person to whom He revealed His resurrected risen self. 	11:93	0:725	Now faith is confidence in what we hope for and assurance about what we do not see
1132_(Hebrews 11:1)	Now FAITH is confidence in what we HOPE for and assurance about what we do NOT SEE. When we learn something new we HOPE to get good at it! This can be anything. We can't see the skill because we don't have it yet. But we HOPE we will someday, so we move towards our goals!	0:82	0:272	Now faith is confidence in what we hope for and assurance about what we do not see
1128_(Hebrews 11:1)	As today starts reminisce about how far you've come, you didn't know for sure you would be here today, you moved by FAITH plus a dash of God's Mercy. Now faith is confidence in what we hope for and assurance about what we do not see	150:232	0:232	Now faith is confidence in what we hope for and assurance about what we do not see
1115_(Hebrews 11:1)	Keeping faith in focus today with Hebrews 11:1 - 'Now faith is confidence in what we hope for and assurance about what we do not see.' It's a gentle reminder that even when life's path isn't clear, steadfast hope and faith navigate us through	50:132	0:242	Now faith is confidence in what we hope for and assurance about what we do not see
1111_(Hebrews 11:1)	Your faith can see! To come out of #depression you have to see yourself come out. Once your hope has u seeing yourself having better days, it is something you can put your faith to work on. Then the better days will get more frequent. Thank God for that, I do! "Now faith is confidence in what we hope for and assurance about what we do not see"	262:344	0:345	Now faith is confidence in what we hope for and assurance about what we do not see
1134_(Hebrews 11:1)	Now faith is confidence in what we hope for and assurance about what we do not see. Whats the things or beings unseen by the human eyes are not real, sometimes we can feel what we "can't see", so we know that the unseen reality exists. Faith gives confidence.	0:82	0:259	Now faith is confidence in what we hope for and assurance about what we do not see
1112_(Hebrews 11:1)	Now faith is confidence in what we hope for and assurance about what we do not see. Faith in Hebrews 11:1 is simply 'confidence in what we hope for'. I just lack that confidence.	0:82	0:178	Now faith is confidence in what we hope for and assurance about what we do not see
1137_(Hebrews 11:1)	God has a Special plan for all those who love Him. Get on your knees and pray, He is a good listener. Now faith is confidence in what we hope for and assurance about what we do not see. Grab your faith #Bible now and pray	102:184	0:221	Now faith is confidence in what we hope for and assurance about what we do not see
1127_(Hebrews 11:1)	GOD IS GREAT!!"Now faith is confidence in what we hope for and assurance about what we do not see." This is one of my favorite bible verses! The fundamental fact of existence is that this trust in God, this faith, is the firm foundation under everything that makes life worth living. It's our handle on what we can't see. The act of faith is what distinguished our ancestors, set them above the crowd. I've prayed for you bro and I'll keep doing it! You are an amazing human, you have a beautiful family and even though you've gone through a lot in life you never lost faith in Jesus.	15:97	0:584	Now faith is confidence in what we hope for and assurance about what we do not see
1120_(Hebrews 11:1)	"Now faith is confidence in what we hope for and assurance about what we do not see."Just like 'proven science' genuine faith is built on 'evidence' of facts that are assured by truth, and one of the strongest proofs of genuine faith is the results obtained in the lives of those who have and practice it. It will bring a contentment in your life and relationships that only can be obtained by applying the superior 'life equations' or principles of the one who designed humans and therefore knows what brings the most happiness, contentment, and genuine freedom for them. Apply those equations in your life, and they will have a positive impact. They are found in the Bible, which provides an unwavering source of truth, unlike the advice of humans, which is always in flux.	1:83	0:775	Now faith is confidence in what we hope for and assurance about what we do not see
1109_(Hebrews 11:1)	"Now faith is confidence in what we hope for and assurance about what we do not see" is a description of faith, not a definition. The Bible has many other passages that shed light on what faith is. be sure to check the rest if you haven't.	1:83	0:239	Now faith is confidence in what we hope for and assurance about what we do not see
1113_(Hebrews 11:1)	Join us this Wednesday for our Switch Midweek service as we dive into the topic 'Unwavering Faith'. Hebrews 11:1 reminds us that now faith is confidence in what we hope for and assurance about what we do not see. Through unwavering faith, we accelerate the manifestation of prayers, expectations, and the powerful messages we received at the #AccelerateConference2023. Come ready to strengthen your faith and witness the accelerated manifestation of God's promises in your life. Remember to invite a friend.	129:211	0:507	Now faith is confidence in what we hope for and assurance about what we do not see
1123_(Hebrews 11:1)	"Now faith is confidence in what we hope for and assurance about what we do not see." There has never been a time when God was not, nor will there ever be a time when He is not.	1:83	0:177	Now faith is confidence in what we hope for and assurance about what we do not see
1135_(Hebrews 11:1)	Meditation for the Day: "Now faith is confidence in what we hope for and assurance about what we do not see." God reminds us that He is always at work for the sake of His people, even when we're not sure what's happening, faith is the key that unlocks Gods power!	25:107	0:263	Now faith is confidence in what we hope for and assurance about what we do not see
1126_(Hebrews 11:1)	1. First have faith meaning be firm, constant, and understand based on the fact that "Now faith is confidence in what we hope for and assurance about what we do not see." Your faith is what is bringing your good into being. So focus here.	86:168	0:238	Now faith is confidence in what we hope for and assurance about what we do not see
1114_(Hebrews 11:1)	Now faith is confidence in what we hope for and assurance about what we do not see. The Bible is full of evidence for us to base faith upon. People just ignore it because it is more comforting to live in ignorance than to accept God.	0:82	0:233	Now faith is confidence in what we hope for and assurance about what we do not see
1121_(Hebrews 11:1)	Sight is the Ability to see things as they are and Vision (Faith) is the ability to see things as they could be. 'Now faith is confidence in what we hope for and assurance about what we do not see'	114:196	0:197	Now faith is confidence in what we hope for and assurance about what we do not see
1136_(Hebrews 11:1)	It is essential to keep the faith in this life's journey. Faith in God will help you to keep moving forward. Hebrews 11:1 says, 'Now faith is confidence in what we hope for and assurance about what we do not see.'	129:211	0:213	Now faith is confidence in what we hope for and assurance about what we do not see
1117_(Hebrews 11:1)	Faith is defined in Hebrews 11:1 as "now faith is confidence in what we hope for and assurance about what we do not see." But there is no actual physical substance at all; Biblical faith is merely misplaced confidence in unsubstantiated wishful thinking.	37:119	0:254	Now faith is confidence in what we hope for and assurance about what we do not see
1124_(Hebrews 11:1)	When walking with God, sometimes you don't really need to understand what's going on around you. Hebrews 11:1, says Now faith is confidence in what we hope for and assurance about what we do not see. Our Faith is confident and all we need to do is trust God knowing everything will be okay !	116:198	0:291	Now faith is confidence in what we hope for and assurance about what we do not see
1131_(Hebrews 11:1)	God is establishing covenant with you this month by testing your faith! You need to rise to higher levels of faith tangibility!'Now faith is confidence in what we hope for and assurance about what we do not see.'	128:210	0:212	Now faith is confidence in what we hope for and assurance about what we do not see
1129_(Hebrews 11:1)	If you need encouragement (and who doesn't) then the so-called 'Faith Chapter' of the Bible is for you: "Now faith is confidence in what we hope for and assurance about what we do not see"	105:187	0:188	Now faith is confidence in what we hope for and assurance about what we do not see
1118_(Hebrews 11:1)	Now faith is confidence in what we hope for and assurance about what we do not see. Faith without works does not mean faith without works and one will lose their salvation otherwise salvation is by our own works and GOD says salvation is not by our works. Salvation is by grace through faith alone according to the Bible.	0:82	0:321	Now faith is confidence in what we hope for and assurance about what we do not see
1125_(Hebrews 11:1)	Now faith is confidence in what we hope for and assurance about what we do not see. With this definition, it became natural.	0:82	0:124	Now faith is confidence in what we hope for and assurance about what we do not see
1133_(Hebrews 11:1)	Science can not and will not explain everything that is knowable, it would be foolish logic to think so. 'Now faith is confidence in what we hope for and assurance about what we do not see.'	106:188	0:190	Now faith is confidence in what we hope for and assurance about what we do not see
1130_(Hebrews 11:1)	The Biblical definition of faith gives it all away. "Now faith is confidence in what we hope for and assurance about what we do not see." By definition they aren't looking for truth or to challenge beliefs. Faith is an incredibly low bar to clear in Christianity.	53:135	0:263	Now faith is confidence in what we hope for and assurance about what we do not see
1116_(Hebrews 11:1)	Now faith is confidence in what we hope for and assurance about what we do not see. Believing is from the heart/mind/thought.	0:82	0:125	Now faith is confidence in what we hope for and assurance about what we do not see
