identifier1	identifier2	annotator	judgment	comment	lemma	timestamp
480_(Jeremiah 17:9)-c2	469_(Jeremiah 17:9)-c2	shur	1.0		The_heart_is_deceitful_above_all_things_and_desperately_wicked;_who_can_know_it?	
480_(Jeremiah 17:9)-c2	469_(Jeremiah 17:9)-c2	AndreaMariaC	2.0		The_heart_is_deceitful_above_all_things_and_desperately_wicked;_who_can_know_it?	
480_(Jeremiah 17:9)-c2	469_(Jeremiah 17:9)-c2	Nisha	1.0		The_heart_is_deceitful_above_all_things_and_desperately_wicked;_who_can_know_it?	
478_(Jeremiah 17:9)-c2	469_(Jeremiah 17:9)-c2	AndreaMariaC	2.0		The_heart_is_deceitful_above_all_things_and_desperately_wicked;_who_can_know_it?	
478_(Jeremiah 17:9)-c2	469_(Jeremiah 17:9)-c2	Nisha	2.0		The_heart_is_deceitful_above_all_things_and_desperately_wicked;_who_can_know_it?	
478_(Jeremiah 17:9)-c2	469_(Jeremiah 17:9)-c2	shur	1.0		The_heart_is_deceitful_above_all_things_and_desperately_wicked;_who_can_know_it?	
474_(Jeremiah 17:9)-c1	469_(Jeremiah 17:9)-c2	AndreaMariaC	2.0		The_heart_is_deceitful_above_all_things_and_desperately_wicked;_who_can_know_it?	
474_(Jeremiah 17:9)-c1	469_(Jeremiah 17:9)-c2	Nisha	2.0		The_heart_is_deceitful_above_all_things_and_desperately_wicked;_who_can_know_it?	
474_(Jeremiah 17:9)-c1	469_(Jeremiah 17:9)-c2	shur	2.0		The_heart_is_deceitful_above_all_things_and_desperately_wicked;_who_can_know_it?	
474_(Jeremiah 17:9)-c2	469_(Jeremiah 17:9)-c2	Nisha	1.0		The_heart_is_deceitful_above_all_things_and_desperately_wicked;_who_can_know_it?	
474_(Jeremiah 17:9)-c2	469_(Jeremiah 17:9)-c2	AndreaMariaC	2.0		The_heart_is_deceitful_above_all_things_and_desperately_wicked;_who_can_know_it?	
479_(Jeremiah 17:9)-c2	469_(Jeremiah 17:9)-c2	AndreaMariaC	2.0		The_heart_is_deceitful_above_all_things_and_desperately_wicked;_who_can_know_it?	
479_(Jeremiah 17:9)-c2	469_(Jeremiah 17:9)-c2	Nisha	2.0		The_heart_is_deceitful_above_all_things_and_desperately_wicked;_who_can_know_it?	
479_(Jeremiah 17:9)-c2	469_(Jeremiah 17:9)-c2	shur	1.0		The_heart_is_deceitful_above_all_things_and_desperately_wicked;_who_can_know_it?	
466_(Jeremiah 17:9)-c2	469_(Jeremiah 17:9)-c2	AndreaMariaC	3.0		The_heart_is_deceitful_above_all_things_and_desperately_wicked;_who_can_know_it?	
