dataID	context	indices_target_token	indices_target_sentence	lemma
543_(Jeremiah 17:9)	Violence is everywhere and crosses all racial, economical and social barriers. It's not just inner-city kids people."The heart is deceitful above all things, and desperately wicked; who can know it?"	117:198	0:199	The heart is deceitful above all things, and desperately wicked; who can know it?
544_(Jeremiah 17:9)	There's a few though. Here's a good one: The heart is deceitful above all things, and desperately wicked; Who can know it?	41:122	0:122	The heart is deceitful above all things, and desperately wicked; who can know it?
545_(Jeremiah 17:9)	"The heart is deceitful above all things, and desperately wicked; who can know it?" Bible people believe everything so why not this verse? This should be double for pastors.	1:82	0:173	The heart is deceitful above all things, and desperately wicked; who can know it?
546_(Jeremiah 17:9)	Our authentic self is a deceitfully wicked self, full of sin and enslaved to its evil desires. The heart is deceitful above all things, And desperately wicked; Who can know it?	95:176	0:176	The heart is deceitful above all things, and desperately wicked; who can know it?
547_(Jeremiah 17:9)	True !! We must always trust in the Lord and rely on Him, His plans, and His purposes. He never fails us. The heart is deceitful above all things, And desperately wicked; Who can know it? 	106:187	0:188	The heart is deceitful above all things, and desperately wicked; who can know it?
548_(Jeremiah 17:9)	Disney and the church are in league together, all they say is "follow your heart" "stop following your head" yet the scripture says this: "The heart is deceitful above all things, and desperately wicked; who can know it?"	139:220	0:221	The heart is deceitful above all things, and desperately wicked; who can know it?
549_(Jeremiah 17:9)	"Listen to your heart" is not Biblical. The heart is deceitful above all things, and desperately wicked; who can know it?	40:121	0:121	The heart is deceitful above all things, and desperately wicked; who can know it?
550_(Jeremiah 17:9)	If we in the church want a cause to fight, let's fight sin. Let's reveal its hideousness. Let's show that Jeremiah was correct when e said: "The heart is deceitful above all things, and desperately wicked; who can know it?"	141:222	0:223	The heart is deceitful above all things, and desperately wicked; who can know it?
551_(Jeremiah 17:9)	"The heart is deceitful above all things, and desperately wicked; who can know it?" Don't "trust your gut" or "follow your heart."	1:82	0:130	The heart is deceitful above all things, and desperately wicked; who can know it?
552_(Jeremiah 17:9)	It was a general term. to be possessed with devils. It was for anyone who was insane. Or sick. Also remember the heart is the most wicked thing. So if demons did exist they are not as scary as the human heart. "The heart is deceitful above all things, and desperately wicked; who can know it?"	211:292	0:293	The heart is deceitful above all things, and desperately wicked; who can know it?
553_(Jeremiah 17:9)	I believe the Bible. It says they are locked away. Why try to find a way to believe some lies. We are our own problem. Self. The outer man. The heart is the most wicked thing on the earth. Not demons or Satan. Its us "The heart is deceitful above all things, and desperately wicked; who can know it?"	218:299	0:300	The heart is deceitful above all things, and desperately wicked; who can know it?
554_(Jeremiah 17:9)	If there were demons (and there aren't) they are not that bad if the human heart is more wicked. -Jeremiah 17:9"The heart is deceitful above all things, and desperately wicked; who can know it?"	112:193	0:194	The heart is deceitful above all things, and desperately wicked; who can know it?
555_(Jeremiah 17:9)	Matt 28:19, 20 says "baptizing them.. teaching them to observe all the things I have commanded you. "So while ur heart may say I'm not sure if I'm ready2 to get baptized. What does God's Word Say?Jeremiah 17: 9. Reads"The heart is deceitful above all things, and desperately wicked; who can know it?"	218:299	0:300	The heart is deceitful above all things, and desperately wicked; who can know it?
556_(Jeremiah 17:9)	"The heart is deceitful above all things, And desperately wicked; Who can know it?" Don't be deceived, do not follow your heart, but follow Jesus, He is the way, the truth and the life.	1:82	0:185	The heart is deceitful above all things, and desperately wicked; who can know it?
557_(Jeremiah 17:9)	Amen! 🙏 "The heart is deceitful above all things, And desperately wicked; Who can know it?"	9:90	0:91	The heart is deceitful above all things, and desperately wicked; who can know it?
558_(Jeremiah 17:9)	And if the heart is the most deceitful and wicked thing. Demons are nothing to be feared. "The heart is deceitful above all things, and desperately wicked; who can know it?"	91:172	0:173	The heart is deceitful above all things, and desperately wicked; who can know it?
