lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
The_heart_is_deceitful_above_all_things_and_desperately_wicked;_who_can_know_it?				473_(Jeremiah 17:9)-c1		Our authentic self is a deceitfully wicked self, full of sin and enslaved to its evil desires. The heart is deceitful above all things, And desperately wicked; Who can know it?	95:176	0:176
The_heart_is_deceitful_above_all_things_and_desperately_wicked;_who_can_know_it?				474_(Jeremiah 17:9)-c2		"If we in the church want a cause to fight, let's fight sin. Let's reveal its hideousness. Let's show that Jeremiah was correct when e said: ""The heart is deceitful above all things, and desperately wicked; who can know it?"""	141:222	0:223
The_heart_is_deceitful_above_all_things_and_desperately_wicked;_who_can_know_it?				474_(Jeremiah 17:9)-c1		It's dangerous to trust our hearts. The heart is deceitful above all things, and desperately wicked; who can know it? It's also dangerous to put too much faith in our intellect as you can see by how often science textbooks have been revised. So, I would suggest you to have confidence in God.	36:117	0:292
The_heart_is_deceitful_above_all_things_and_desperately_wicked;_who_can_know_it?				478_(Jeremiah 17:9)-c2		"If there were demons (and there aren't) they are not that bad if the human heart is more wicked. -Jeremiah 17:9""The heart is deceitful above all things, and desperately wicked; who can know it?"""	112:193	0:194
The_heart_is_deceitful_above_all_things_and_desperately_wicked;_who_can_know_it?				476_(Jeremiah 17:9)-c2		"The heart is deceitful above all things, and desperately wicked; who can know it? ""I the Lord search the heart and test the mind, to give every man according to his ways, according to the fruit of his deeds."""	0:81	0:208
The_heart_is_deceitful_above_all_things_and_desperately_wicked;_who_can_know_it?				466_(Jeremiah 17:9)-c2		"""The heart is deceitful above all things, and desperately wicked; who can know it?"" Don't ""trust your gut"" or ""follow your heart."""	1:82	0:130
The_heart_is_deceitful_above_all_things_and_desperately_wicked;_who_can_know_it?				479_(Jeremiah 17:9)-c1		"I believe the Bible. It says they are locked away. Why try to find a way to believe some lies. We are our own problem. Self. The outer man. The heart is the most wicked thing on the earth. Not demons or Satan. Its us ""The heart is deceitful above all things, and desperately wicked; who can know it?"""	218:299	0:300
The_heart_is_deceitful_above_all_things_and_desperately_wicked;_who_can_know_it?				480_(Jeremiah 17:9)-c1		Mental Illness. The heart is deceitful above all things, and desperately wicked; who can know it?	16:97	0:97
The_heart_is_deceitful_above_all_things_and_desperately_wicked;_who_can_know_it?				480_(Jeremiah 17:9)-c2		Education & accomplishment aren't the answers for such evil. America has a heart-sin problem, and only Jesus can cure that. The heart is deceitful above all things, and desperately wicked; who can know it?	124:205	0:205
The_heart_is_deceitful_above_all_things_and_desperately_wicked;_who_can_know_it?				479_(Jeremiah 17:9)-c2		"And if the heart is the most deceitful and wicked thing. Demons are nothing to be feared. ""The heart is deceitful above all things, and desperately wicked; who can know it?"""	91:172	0:173
The_heart_is_deceitful_above_all_things_and_desperately_wicked;_who_can_know_it?				471_(Jeremiah 17:9)-c2		The heart is deceitful above all things, and desperately wicked; who can know it? Accurate reflection on society and human nature.	0:81	0:130
The_heart_is_deceitful_above_all_things_and_desperately_wicked;_who_can_know_it?				470_(Jeremiah 17:9)-c1		"Violence is everywhere and crosses all racial, economical and social barriers. It's not just inner-city kids people.""The heart is deceitful above all things, and desperately wicked; who can know it?"""	117:198	0:199
The_heart_is_deceitful_above_all_things_and_desperately_wicked;_who_can_know_it?				469_(Jeremiah 17:9)-c2		If you heart or your self feel peace go for it otherwise. The heart is deceitful above all things, and desperately wicked; who can know it?	58:139	0:139
The_heart_is_deceitful_above_all_things_and_desperately_wicked;_who_can_know_it?				472_(Jeremiah 17:9)-c1		"""The heart is deceitful above all things, and desperately wicked; who can know it?"" Bible people believe everything so why not this verse? This should be double for pastors."	1:82	0:173
The_heart_is_deceitful_above_all_things_and_desperately_wicked;_who_can_know_it?				478_(Jeremiah 17:9)-c1		"It was a general term. to be possessed with devils. It was for anyone who was insane. Or sick. Also remember the heart is the most wicked thing. So if demons did exist they are not as scary as the human heart. ""The heart is deceitful above all things, and desperately wicked; who can know it?"""	211:292	0:293
The_heart_is_deceitful_above_all_things_and_desperately_wicked;_who_can_know_it?				477_(Jeremiah 17:9)-c1		"The heart is deceitful above all things, And desperately wicked; Who can know it? Matthew 4:4[4]But He answered and said, ""It is written, 'Man shall not live by bread alone, but by every word that proceeds from the mouth of God."""	0:81	0:229
The_heart_is_deceitful_above_all_things_and_desperately_wicked;_who_can_know_it?				467_(Jeremiah 17:9)-c1		"""Listen to your heart"" is not Biblical. The heart is deceitful above all things, and desperately wicked; who can know it?"	40:121	0:121
The_heart_is_deceitful_above_all_things_and_desperately_wicked;_who_can_know_it?				475_(Jeremiah 17:9)-c1		True !! We must always trust in the Lord and rely on Him, His plans, and His purposes. He never fails us. The heart is deceitful above all things, And desperately wicked; Who can know it? 	106:187	0:188
The_heart_is_deceitful_above_all_things_and_desperately_wicked;_who_can_know_it?				470_(Jeremiah 17:9)-c2		For a better society a heart condition change is required. Acknowledgement & humility are key. The Bible says: The heart is deceitful above all things, and desperately wicked; who can know it?	111:192	0:192
The_heart_is_deceitful_above_all_things_and_desperately_wicked;_who_can_know_it?				477_(Jeremiah 17:9)-c2		" ""The heart is deceitful above all things, and desperately wicked; Who can know it?"" Trust in the LORD JESUS alone! "	2:83	0:116
The_heart_is_deceitful_above_all_things_and_desperately_wicked;_who_can_know_it?				475_(Jeremiah 17:9)-c2		He claims they felt uprooted. Feelings don't effect reality. They followed their feelings (heart) of wanting to be like God & chose an actual uprooting from safety and goodness. The heart is deceitful above all things, and desperately wicked; who can know it?	178:259	0:259
The_heart_is_deceitful_above_all_things_and_desperately_wicked;_who_can_know_it?				468_(Jeremiah 17:9)-c1		"So true. This is why God said ""The heart is deceitful above all things, and desperately wicked; who can know it?""Making idols out of the whims of the heart is a sure path to destruction."	31:112	0:186
The_heart_is_deceitful_above_all_things_and_desperately_wicked;_who_can_know_it?				471_(Jeremiah 17:9)-c1		The heart is deceitful above all things, and desperately wicked; Who can know it? When mere human reason and feelings become the basis for discerning moral issues and social constructs, society is guaranteed to become self-destructive as the human heart is 'deceitful above all things' and 'desperately sick'.	0:81	0:309
The_heart_is_deceitful_above_all_things_and_desperately_wicked;_who_can_know_it?				473_(Jeremiah 17:9)-c2		Easy Bible. Jeremiah 17:9 [9]The heart is deceitful above all things, and desperately wicked; who can know it?	29:110	0:110
The_heart_is_deceitful_above_all_things_and_desperately_wicked;_who_can_know_it?				468_(Jeremiah 17:9)-c2		"It proves God right when he said and Jeremiah 17:9 ""The heart is deceitful above all things, and desperately wicked; who can know it? And to know that to be true all I have to do is look at my own heart"	52:133	0:202
The_heart_is_deceitful_above_all_things_and_desperately_wicked;_who_can_know_it?				472_(Jeremiah 17:9)-c2		Yes God does know our hearts but what does scripture say about that ? The heart is deceitful above all things, and desperately wicked; who can know it? Again .. I'm a scripturalist. I recommend you back up your beliefs by scripture and less generalizing	70:151	0:253
