lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
The_rain_came_down_the_streams_rose_and_the_winds_blew				259_(Matthew 7:25)-c1		#STORM #PROOF Storm proof your life: "The rain came down, the streams rose, and the winds blew and beat against..." There will be #STORMS in life 2 test our mettle.  2 withstand & #overcome, build your LIFE upon the #ROCK of Ages, #JESUS #CHRIST!	38:94	0:246
The_rain_came_down_the_streams_rose_and_the_winds_blew				263_(Matthew 7:25)-c1		For no one can lay any foundation other than the one already laid, which is JESUS CHRIST. The rain came down, the streams rose, and the winds blew and beat against that house; yet it did not fall, because it had its foundation on the ROCK.	90:146	0:239
The_rain_came_down_the_streams_rose_and_the_winds_blew				261_(Matthew 7:25)-c1		But everyone who hears these words of mine and does NOT put them into practice is like a foolish biden who built his house on sand. This storm will pass, and a new day will come.... The rain came down, the streams rose, and the winds blew and beat against that house, and it fell bigly, with a great crash.	182:238	0:306
The_rain_came_down_the_streams_rose_and_the_winds_blew				269_(Matthew 7:25)-c1		The rain came down, the streams rose, and the winds blew, beating against that house, causing a great crash. Turns out, building your house on sand wasn't the best idea after all. #LifeLessons	0:56	0:192
The_rain_came_down_the_streams_rose_and_the_winds_blew				264_(Matthew 7:25)-c2		But everyone who hears these words of mine and does not put them into practice is like a foolish man who built his house on sand. The rain came down, the streams rose, and the winds blew and beat against that house, and it fell with a great crash (Matthew 7:26). The foundation of the Republican Party is a Trump's Big Lie. Their foundation is built on sand. This is going to end as in the previous verse	130:186	0:404
The_rain_came_down_the_streams_rose_and_the_winds_blew				261_(Matthew 7:25)-c2		Dubai, built on dollars: "A foolish man who built his house on sand. The rain came down, the streams rose, and the winds blew and beat against that house, and it fell with a great crash." #dubai #oil #dollars dubai is going to fall hard. cell phones are everywhere. obesity is everywhere. consumerism is old.	69:125	0:308
The_rain_came_down_the_streams_rose_and_the_winds_blew				256_(Matthew 7:25)-c1		But everyone who hears these words of mine and does not put them into practice is a foolish man who built his house on sand. The rain came down, the streams rose, and the winds blew and its house fell with a great crash.	125:181	0:220
The_rain_came_down_the_streams_rose_and_the_winds_blew				262_(Matthew 7:25)-c2		Oh great, the rain came down, the streams rose, and the winds blew... Just what I needed, another opportunity to channel my inner Noah and build an ark in my backyard. Who needs a sunny day when you can embrace the flood life, right? 😍😉5 #RainyDayAdventures	10:66	0:257
The_rain_came_down_the_streams_rose_and_the_winds_blew				258_(Matthew 7:25)-c2		[Easter Egg] In Crawl (2019) the dad's license plate reads MATT 725, seen out the garage door during a hurricane. Matthew 7:25 in the Bible reads "The rain came down, the streams rose, and the winds blew and beat against that house; yet it did not fall"	147:203	0:253
The_rain_came_down_the_streams_rose_and_the_winds_blew				257_(Matthew 7:25)-c2		What is the Rock ? The rain came down, the streams rose, and the winds blew and beat against that house; yet it did not fall, because it had its foundation on the rock. Jesus Christ, He is the Rock. Standing on His Word to me. Trump will win in 2020	19:75	0:249
The_rain_came_down_the_streams_rose_and_the_winds_blew				264_(Matthew 7:25)-c1		Here, and elsewhere, Jesus warns of the coming judgment, as do the other New Testament writers. When 'the rain came down, the streams rose, and the winds blew and beat against that house' (Matthew 7:25,27), the house built on the rock 'did not fall' but the one built on the sand 😍👇	102:158	0:282
The_rain_came_down_the_streams_rose_and_the_winds_blew				265_(Matthew 7:25)-c2		The rain came down, the streams rose, and the winds blew. It's not about an umbrella, It's about building a foundation that can withstand life's storms.	0:56	0:152
The_rain_came_down_the_streams_rose_and_the_winds_blew				258_(Matthew 7:25)-c1		The ability to stand strong in the storm begins with a great foundation. Is your foundation rock solid or sinking sand? The rain came down, the streams rose, and the winds blew and beat against that house; yet it did not fall, because it had its foundation on the rock.	120:176	0:269
The_rain_came_down_the_streams_rose_and_the_winds_blew				266_(Matthew 7:25)-c1		The rain came down, the streams rose, and the winds blew and beat against that house; yet it did not fall, because it had its foundation on the rock. The winds will definitely blow, but one thing is sure, they that know their God, shall be strong, and do exploits	0:56	0:263
The_rain_came_down_the_streams_rose_and_the_winds_blew				263_(Matthew 7:25)-c2		Oh great, the rain came down, the streams rose, and the winds blew... and my umbrella chose the perfect time to abandon me. I guess it's nature's way of reminding me that my impeccable timing extends even to weather-related disasters. Thanks, universe! 🌌 😍 #RainyDayBlues	10:66	0:271
The_rain_came_down_the_streams_rose_and_the_winds_blew				265_(Matthew 7:25)-c1		The rain came down, the streams rose, and the winds blew and beat against the house yet it did NOT fall because it had its foundation on the rock. What foundation is your life built on? Anything other than the rock of Christ is sinking sand	0:56	0:240
The_rain_came_down_the_streams_rose_and_the_winds_blew				267_(Matthew 7:25)-c2		I'm certainly not one to ever quote scripture, but Matthew's got it right here: "... a foolish man who built his house on sand. The rain came down, the streams rose, and the winds blew and beat against that house, and it fell with a great crash."	128:184	0:246
The_rain_came_down_the_streams_rose_and_the_winds_blew				256_(Matthew 7:25)-c2		The BIDEN FALLING OVER A SAND BAG was CLASSIC - WHAT COULD IT POSSIBLY MEAN - A FOOLISH MAN WHO BUILT HIS HOUSE ON SAND- THE RAIN CAME DOWN, THE STREAMS ROSE, AND THE WINDS BLEW AND BEAT AGAINST THAT HOUSE AND IT FELL WITH A GREAT CRASH - GET IT !	121:177	0:247
The_rain_came_down_the_streams_rose_and_the_winds_blew				260_(Matthew 7:25)-c1		The Wise man built his house upon the Rock... The Foolish man built his house on the Sand. The rain came down, the streams rose, and the winds blew and beat against that house, and it fell with a great crash. How are you?	91:147	0:221
