lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
Better_is_open_rebuke_than_hidden_love				131_(Proverbs 27:5)-c2		"You wish people are obsessed w our culture. Instead of open rebuke, they succumb to secret love. ""Better is open rebuke than hidden love"""	98:136	0:137
Better_is_open_rebuke_than_hidden_love				121_(Proverbs 27:5)-c1		Am I now your enemy because I tell you the truth? ❤️🤣 Pardon, if I was speaking on a topic, I'd appreciate someone correcting me if I was misspeaking. Check out Proverbs 27:5, Better is open rebuke than hidden love.	176:214	0:215
Better_is_open_rebuke_than_hidden_love				125_(Proverbs 27:5)-c2		I heard a new word today, 'GIRLS CODE' 1. You should always support your friend publicly even when she's wrong. 🤣🤣 You see those hot public slaps my dad gives me, Its called OPEN REBUKE.. Your friendship is supposed to be in THIS way. Better is open rebuke than hidden love	235:273	0:273
Better_is_open_rebuke_than_hidden_love				132_(Proverbs 27:5)-c2		"""Better is open rebuke than hidden love."" Dion, it isn't love to avoid telling people truths that they may not want to hear. Eternity is at stake. Tell the truth. Always."	1:39	0:170
Better_is_open_rebuke_than_hidden_love				120_(Proverbs 27:5)-c2		You don't understand the meaning of loyalty. Better is open rebuke than hidden love. This is how the society has been designed , when you rebuke someone in the public they called it disgrace lol 😍😉6, how can we move on as a country	45:83	0:231
Better_is_open_rebuke_than_hidden_love				126_(Proverbs 27:5)-c1		I think this is the best bible verse for friendships: Open rebuke is better than hidden love	54:92	0:92
Better_is_open_rebuke_than_hidden_love				130_(Proverbs 27:5)-c2		"Better is open rebuke than hidden love. Open rebuke is often necessary. No amount of smart-talk will change that. If your concern is to be well-pleasing to God, you will not shield yourself from the truth by pretending rebuke was wrong because it hurt your ego. Ask yourself these. 1. Is the person saying the truth? 2. If my pastor or someone in my clique said this exact same thing, how would I react? These questions will give you clarity. Because many times, the offense you're picking up from a tweet is not the person being proud or nasty. It's your own bias distorting the person's message or ""tone"" in your mind. It's the person you're are ratioing because you don't like them. It's not what they said you're ratioing. Finally, when you get that righteous indignation stirring up in your chest to openly rebuke those who are openly rebuking others... Remember you're doing what you're correcting them for doing. So you're a hypocrite."	0:38	0:942
Better_is_open_rebuke_than_hidden_love				128_(Proverbs 27:5)-c1		Godly friendship does not feed each other's emotions. It's more on of an open rebukes and encouragements. Instead, better is open rebuke than hidden love	115:153	0:153
Better_is_open_rebuke_than_hidden_love				132_(Proverbs 27:5)-c1		Biblical friendship requires both affirmation and honesty. Better is open rebuke than hidden love.	59:97	0:98
Better_is_open_rebuke_than_hidden_love				125_(Proverbs 27:5)-c1		A good friend will not only say nice things: Better is open rebuke than hidden love (Prov 27:5). The writer of Proverbs goes on to say, Wounds from a friend can be trusted (v6). True friendship involves more than unquestioning approval	45:83	0:235
Better_is_open_rebuke_than_hidden_love				123_(Proverbs 27:5)-c1		Open rebuke is better than secret love. An open rebuke is a sign of a true friendship. It helps to mature us spiritually when done in love.	0:38	0:139
Better_is_open_rebuke_than_hidden_love				129_(Proverbs 27:5)-c1		What do I do for a friend involved in a wrong relationship? Better is open rebuke than hidden love. Faithful are the wounds of a friend; but the kisses of an enemy are deceitful. 	60:98	0:179
Better_is_open_rebuke_than_hidden_love				124_(Proverbs 27:5)-c2		A true friend, you are honest with them about how you feel. It leaves the burden on them to do right. Better is open rebuke than hidden love	102:140	0:140
Better_is_open_rebuke_than_hidden_love				126_(Proverbs 27:5)-c2		Better is open rebuke than hidden love. Wounds from a friend can be trusted, but an enemy multiplies kisses. So does with this saying: It's better to be slapped by the truth than kissed with a lie.(Russian proverb) REPENT, FOR THE COMING OF THE LORD IS NEAR	0:38	0:257
Better_is_open_rebuke_than_hidden_love				127_(Proverbs 27:5)-c1		Love and support is not ignoring the words you need to here. A true friendship makes you better. The Bible says iron sharpens iron. True friends will correct you if needed. Proverbs 27:5 says, Better is open rebuke than hidden love	193:231	0:231
Better_is_open_rebuke_than_hidden_love				121_(Proverbs 27:5)-c2		They are yes men until they have enough information to become turncoats. It is a process that repeats throughout history. Better is open rebuke than hidden love.	122:160	0:161
Better_is_open_rebuke_than_hidden_love				123_(Proverbs 27:5)-c2		Better is open rebuke than hidden love. Faithful are the wounds of a friend but the kisses of an enemy are deceitful. True friends will tell you when you're acting like an idiot.	0:38	0:178
Better_is_open_rebuke_than_hidden_love				128_(Proverbs 27:5)-c2		Enemies encourage bad decisions, while good friends tell you the truth even if it hurts. Better is open rebuke than hidden love! Wounds from a sincere friend are better than many kisses from an enemy.	89:127	0:200
Better_is_open_rebuke_than_hidden_love				133_(Proverbs 27:5)-c1		Don't get me wrong, it's ok to rebuke (Better is open rebuke than hidden love). But what usually happens when we Rebuke older people? For me; they get more stubborn. Get upset, frustration. Missing out on His Love and forgiveness. Grace is for all who Receives. With all purity. Amen.	39:77	0:284
Better_is_open_rebuke_than_hidden_love				129_(Proverbs 27:5)-c2		Better is open rebuke than hidden love! It is much better for a friend to help you see your flaws instead of ignoring them. Sometimes, it's painful, but in the long run, it will save much grief	0:38	0:193
