lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
Whoever_does_not_love_does_not_know_God_because_God_is_love				78_(1 John 4:8)-c1		Whoever does not love does not know God, because God is love. I don't think some people understand this God is Love - this IS WHO GOD IS!! -Our REDEEMER WHO IS MIGHTY TO SAVE	0:60	0:174
Whoever_does_not_love_does_not_know_God_because_God_is_love				84_(1 John 4:8)-c2		Whoever does not love does not know God, because God is love. If God is Love, then Love is God ❤️❤️❤️ 	0:60	0:102
Whoever_does_not_love_does_not_know_God_because_God_is_love				75_(1 John 4:8)-c2		Love At It's Best - God is love, so we daily need to be refreshed in His Love. The best living of all is when we live in God's love. Everyone who loves has been born of God and knows God. Whoever does not love does not know God, because God is love.	188:248	0:249
Whoever_does_not_love_does_not_know_God_because_God_is_love				81_(1 John 4:8)-c1		Stand strong and know love (God) never fail. Whoever does not love does not know God, because God is love. I love you, God Bless! Sometimes we think we love someone or are in love when it's only infatuation and desires that promote happiness through luxury and fame/attention.	45:105	0:276
Whoever_does_not_love_does_not_know_God_because_God_is_love				80_(1 John 4:8)-c2		God's Power is Awesome! At the same time, 1 John 4:8 says, "Whoever does not love does not know God, because God is Love." God is love... the magnitude of this is also difficult for us to understand.	60:120	0:199
Whoever_does_not_love_does_not_know_God_because_God_is_love				87_(1 John 4:8)-c1		Dear friends, let us love one another, for love comes from God. Everyone who loves has been born of God and knows God. Whoever does not love does not know God, because God is love.	119:179	0:180
Whoever_does_not_love_does_not_know_God_because_God_is_love				85_(1 John 4:8)-c2		Triune love represents the highest form of love, the sublimely perfect love that exists irrespective of our circumstances. This love is the essence of God's nature as described in 1 John 4:8, Whoever does not love does not know God, because God is love. By understanding and accepting the Lord's love, we can move towards healing and wholeness. We are not merely being loved by an external entity but are being invited into the communion of the very Triune life and love of the Triune God.	191:252	0:489
Whoever_does_not_love_does_not_know_God_because_God_is_love				88_(1 John 4:8)-c2		Good morning Saints! In the eyes of God, Love is the most powerful, beautiful and important quality in His people. Have a great day! "Whoever does not love does not know God, because God is love."	134:194	0:196
Whoever_does_not_love_does_not_know_God_because_God_is_love				83_(1 John 4:8)-c2		No, love is all it takes to know God."Whoever does not love does not know God, because God is love."	38:98	0:100
Whoever_does_not_love_does_not_know_God_because_God_is_love				89_(1 John 4:8)-c1		Love is a foundational characteristic of God Himself. Whoever does not love does not know God, because God is love. As believers, we are called to love one another, just as God has loved us	54:114	0:189
