dataID	context	indices_target_token	indices_target_sentence	lemma
390_(Mark 12:17)	Did Jesus fuck another woman while his wife was home having a baby? Did he cheat on all three wives? Did he refuse to pay his debts because he didn't want to? Did he refuse to Give to Caesar what belongs to Caesar (ie. taxes)?	176:213	0:226	Give to Caesar what belongs to Caesar
391_(Mark 12:17)	There is no such thing as legal theory. Jesus himself taught the separation of church and state when His disciples tried to entangle him in a political protest. Give to Caesar what belongs to Caesar; and to God what belongs to God	161:198	0:230	Give to Caesar what belongs to Caesar
392_(Mark 12:17)	Jesus said to them, "Give to Caesar what belongs to Caesar; and to God what belongs to God". All of you must obey the government rulers. Everyone who rules was given the power to rule by God. And all those who rule now were given that power by God	21:58	0:247	Give to Caesar what belongs to Caesar
393_(Mark 12:17)	J-freeing-C? Let give to Caesar what belongs to Caesar; and to God what belongs to God? I don't vote either. The trope about the fact precluding my right to complain about the elected is obvious nonsense ikyk - if I was a participant that's what'd disqualify me from complaint. CAN	17:54	0:281	Give to Caesar what belongs to Caesar
394_(Mark 12:17)	Are you speaking of our national law enforcement agencies? Have you not gotten to the part of the Bible where we are to "Give to Caesar what belongs to Caesar"? The good book doesn't make much sense when you go cherry picking only the parts you like best.	121:158	0:255	Give to Caesar what belongs to Caesar
395_(Mark 12:17)	when you try to use the bible to infringe on the rights of other people, that is against biblical texts. christ said to Give to Caesar what belongs to Caesar. this is not a theocracy. if you hate me bc i'm queer, go right ahead. but you don't get to dictate other's rights.	120:157	0:273	Give to Caesar what belongs to Caesar
396_(Mark 12:17)	Christians / Jews created porn and 99% of the porn is created in their lands due to beliefs such as Whoever is without sin let him cast the first stone and Give to Caesar what belongs to Caesar	156:193	0:193	Give to Caesar what belongs to Caesar
397_(Mark 12:17)	People will use "Give to Caesar what belongs to Caesar" to give unquestioning worship and obedience to him, the irony...	17:54	0:120	Give to Caesar what belongs to Caesar
398_(Mark 12:17)	Give to Caesar what belongs to Caesar. I guess you ignore that verse because it's inconvenient to your political aspirations, even though it directly contradicts what you just said.	0:37	0:181	Give to Caesar what belongs to Caesar
399_(Mark 12:17)	You must leave Christianity and join islam. Don't you see that wokeness started and spread in the lands of Christendom due to erroneous beliefs such as 'love your enemies' and 'Give to Caesar what belongs to Caesar'	177:214	0:215	Give to Caesar what belongs to Caesar
400_(Mark 12:17)	Give to Caesar what belongs to Caesar and rendering to God, what is God's .. the government can steal my cash, money, or my poop coins or my doge... but I don't want anybody taking my heart or my identity or my Bitcoin tenth of a satoshi or my punk	0:37	0:248	Give to Caesar what belongs to Caesar
401_(Mark 12:17)	just prepared taxes I've been putting off and WOW. There really is something to this whole "chop wood, carry water" and "Give to Caesar what belongs to Caesar" thing, huh?	121:158	0:171	Give to Caesar what belongs to Caesar
402_(Mark 12:17)	Even Jesus said you have to Give to Caesar what belongs to Caesar. You cannot live anywhere without paying taxes. Grow up.	28:65	0:122	Give to Caesar what belongs to Caesar
403_(Mark 12:17)	Even Jesus was for separation of church and state: Give to Caesar what belongs to Caesar; and to God what belongs to God. Remember?	51:88	0:131	Give to Caesar what belongs to Caesar
404_(Mark 12:17)	Give to Caesar what belongs to Caesar; and to God what belongs to God. God's money was to feed the poor, not the Mega church's ministry. That's socialism. It pissed the right off even then, the Roman Senate had a let them eat cake political philosophy	0:37	0:251	Give to Caesar what belongs to Caesar
405_(Mark 12:17)	It is interesting that while we Give to Caesar what belongs to Caesar churches bend a knee to their 501c3 tax exempt status. Likewise they follow government orders.	32:69	0:164	Give to Caesar what belongs to Caesar
406_(Mark 12:17)	And he said to them render therefore to Give to Caesar what belongs to Caesar; and to God what belongs to God. You have to go back to Sunday school 😉 God is love ❤ 🙏 😇	40:77	0:167	Give to Caesar what belongs to Caesar
407_(Mark 12:17)	Give to Caesar what belongs to Caesar; and to God what belongs to God. #Clergy etc., have no place in making laws, setting policy. This isn't Italy, we aren't run by a Vatican. America is not a #theocracy. #DavidLane needs to go to a theocratic #authoritarian country to live. #SeparationOfChurchAndState	0:37	0:304	Give to Caesar what belongs to Caesar
408_(Mark 12:17)	Middle class America has carried the burden of paying for 🤬 everything. Time to tax the 🤬 rich. Joel Olsteen needs to Give to Caesar what belongs to Caesar	118:155	0:155	Give to Caesar what belongs to Caesar
409_(Mark 12:17)	The government has nothing to do with the church. Separation of church & state. America is NOT a christian nation. It is a nation of many religions and many people who have no religion. Thus, give to Caesar what belongs to Caesar	192:229	0:229	Give to Caesar what belongs to Caesar
410_(Mark 12:17)	When Jesus said Give to Caesar what belongs to Caesar; and to God what belongs to God we have to ask ourselves what belongs to Cesar? Does the money you work for belong to the government? No.	16:53	0:191	Give to Caesar what belongs to Caesar
411_(Mark 12:17)	Commandments of Jesus are different than the Ten Commandments. Jesus said 1. Love one another. 2. Turn the other cheek. 3. Give to Caesar what belongs to Caesar. 4. Treat others as you wish to be treated. Who can add more?	123:160	0:222	Give to Caesar what belongs to Caesar
412_(Mark 12:17)	Give to Caesar what belongs to Caesar, I guess, even Jesus paid His own way. Besides why would the pope need a checkmark anyway?.	0:37	0:129	Give to Caesar what belongs to Caesar
413_(Mark 12:17)	does Give to Caesar what belongs to Caesar mean to pay taxes?	5:42	0:61	Give to Caesar what belongs to Caesar
414_(Mark 12:17)	Jesus even implied paying taxes and obeying laws when he said 'Give to Caesar what belongs to Caesar' These people never actually read their Bibles. They certainly wouldn't be worshiping a false god if they did. Nope. TFG is NOT a god.	63:100	0:235	Give to Caesar what belongs to Caesar
415_(Mark 12:17)	This isn't mocking God. This is using the law of the land to expose human hypocrisy. Something Jesus did on occasion Give to Caesar what belongs to Caesar and 'he who is without sin' etc.	117:154	0:187	Give to Caesar what belongs to Caesar
416_(Mark 12:17)	Taxes. Jesus did preach to Give to Caesar what belongs to Caesar	27:64	0:64	Give to Caesar what belongs to Caesar
417_(Mark 12:17)	Separation of church and state WHERE?!? They said fuck Give to Caesar what belongs to Caesar... let's BE Cesar and the sinners can render to us.	55:92	0:144	Give to Caesar what belongs to Caesar
418_(Mark 12:17)	Republicans don't want to pay taxes. Have they not read the Bible verse where Jesus said Give to Caesar what belongs to Caesar	89:126	0:126	Give to Caesar what belongs to Caesar
419_(Mark 12:17)	Give to Caesar what belongs to Caesar; and to God what belongs to God. That means paying your bills. Also, are you implying that the government should set the precedent of having Christian charity?? Cool, guys... prayer in school.	0:37	0:230	Give to Caesar what belongs to Caesar
420_(Mark 12:17)	You know it's funny: "Give to Caesar what belongs to Caesar" doesn't sound like a libertarian screed against taxation to me.	22:59	0:124	Give to Caesar what belongs to Caesar
