identifier1	identifier2	annotator	judgment	comment	lemma	timestamp
253_(John 15:13)-c2	247_(John 15:13)-c2	Nisha	1.0		Greater_love_has_no_one_than_this:_to_lay_down_one's_life_for_one's_friends	
253_(John 15:13)-c2	247_(John 15:13)-c2	AndreaMariaC	2.0		Greater_love_has_no_one_than_this:_to_lay_down_one's_life_for_one's_friends	
253_(John 15:13)-c2	247_(John 15:13)-c2	shur	1.0		Greater_love_has_no_one_than_this:_to_lay_down_one's_life_for_one's_friends	
248_(John 15:13)-c2	247_(John 15:13)-c2	AndreaMariaC	3.0		Greater_love_has_no_one_than_this:_to_lay_down_one's_life_for_one's_friends	
248_(John 15:13)-c2	247_(John 15:13)-c2	Nisha	2.0		Greater_love_has_no_one_than_this:_to_lay_down_one's_life_for_one's_friends	
245_(John 15:13)-c2	247_(John 15:13)-c2	AndreaMariaC	3.0		Greater_love_has_no_one_than_this:_to_lay_down_one's_life_for_one's_friends	
245_(John 15:13)-c2	247_(John 15:13)-c2	Nisha	2.0		Greater_love_has_no_one_than_this:_to_lay_down_one's_life_for_one's_friends	
245_(John 15:13)-c2	247_(John 15:13)-c2	shur	3.0		Greater_love_has_no_one_than_this:_to_lay_down_one's_life_for_one's_friends	
241_(John 15:13)-c2	247_(John 15:13)-c2	AndreaMariaC	2.0		Greater_love_has_no_one_than_this:_to_lay_down_one's_life_for_one's_friends	
241_(John 15:13)-c2	247_(John 15:13)-c2	Nisha	2.0		Greater_love_has_no_one_than_this:_to_lay_down_one's_life_for_one's_friends	
241_(John 15:13)-c2	247_(John 15:13)-c2	shur	1.0		Greater_love_has_no_one_than_this:_to_lay_down_one's_life_for_one's_friends	
253_(John 15:13)-c2	254_(John 15:13)-c1	AndreaMariaC	2.0		Greater_love_has_no_one_than_this:_to_lay_down_one's_life_for_one's_friends	
253_(John 15:13)-c2	254_(John 15:13)-c1	Nisha	1.0		Greater_love_has_no_one_than_this:_to_lay_down_one's_life_for_one's_friends	
253_(John 15:13)-c2	254_(John 15:13)-c1	shur	1.0		Greater_love_has_no_one_than_this:_to_lay_down_one's_life_for_one's_friends	
245_(John 15:13)-c2	254_(John 15:13)-c1	Nisha	1.0		Greater_love_has_no_one_than_this:_to_lay_down_one's_life_for_one's_friends	
245_(John 15:13)-c2	254_(John 15:13)-c1	AndreaMariaC	2.0		Greater_love_has_no_one_than_this:_to_lay_down_one's_life_for_one's_friends	
250_(John 15:13)-c2	254_(John 15:13)-c1	AndreaMariaC	2.0		Greater_love_has_no_one_than_this:_to_lay_down_one's_life_for_one's_friends	
250_(John 15:13)-c2	254_(John 15:13)-c1	Nisha	1.0		Greater_love_has_no_one_than_this:_to_lay_down_one's_life_for_one's_friends	
250_(John 15:13)-c2	254_(John 15:13)-c1	shur	1.0		Greater_love_has_no_one_than_this:_to_lay_down_one's_life_for_one's_friends	
251_(John 15:13)-c1	254_(John 15:13)-c1	AndreaMariaC	3.0		Greater_love_has_no_one_than_this:_to_lay_down_one's_life_for_one's_friends	
251_(John 15:13)-c1	254_(John 15:13)-c1	Nisha	1.0		Greater_love_has_no_one_than_this:_to_lay_down_one's_life_for_one's_friends	
251_(John 15:13)-c1	254_(John 15:13)-c1	shur	2.0		Greater_love_has_no_one_than_this:_to_lay_down_one's_life_for_one's_friends	
253_(John 15:13)-c2	253_(John 15:13)-c1	AndreaMariaC	2.0		Greater_love_has_no_one_than_this:_to_lay_down_one's_life_for_one's_friends	
253_(John 15:13)-c2	253_(John 15:13)-c1	Nisha	1.0		Greater_love_has_no_one_than_this:_to_lay_down_one's_life_for_one's_friends	
241_(John 15:13)-c1	253_(John 15:13)-c1	Nisha	1.0		Greater_love_has_no_one_than_this:_to_lay_down_one's_life_for_one's_friends	
241_(John 15:13)-c1	253_(John 15:13)-c1	AndreaMariaC	2.0		Greater_love_has_no_one_than_this:_to_lay_down_one's_life_for_one's_friends	
248_(John 15:13)-c2	253_(John 15:13)-c1	Nisha	1.0		Greater_love_has_no_one_than_this:_to_lay_down_one's_life_for_one's_friends	
248_(John 15:13)-c2	253_(John 15:13)-c1	AndreaMariaC	2.0		Greater_love_has_no_one_than_this:_to_lay_down_one's_life_for_one's_friends	
248_(John 15:13)-c1	253_(John 15:13)-c1	Nisha	4.0		Greater_love_has_no_one_than_this:_to_lay_down_one's_life_for_one's_friends	
248_(John 15:13)-c1	253_(John 15:13)-c1	AndreaMariaC	3.0		Greater_love_has_no_one_than_this:_to_lay_down_one's_life_for_one's_friends	
252_(John 15:13)-c2	253_(John 15:13)-c1	Nisha	1.0		Greater_love_has_no_one_than_this:_to_lay_down_one's_life_for_one's_friends	
252_(John 15:13)-c2	253_(John 15:13)-c1	AndreaMariaC	1.0		Greater_love_has_no_one_than_this:_to_lay_down_one's_life_for_one's_friends	
