dataID	context	indices_target_token	indices_target_sentence	lemma
336_(Leviticus 20:13)-c2	I am Catholic and support LGBT. Many things the bible preaches is deemed prosocial in today's society. (e.g. If a man lies with a male as with a woman, both of them have committed an abomination; they shall surely be put to death) So which bits ok.?? Do you support death over love??	109:150	0:283	If a man lies with a male as with a woman
331_(Leviticus 20:13)-c1	For Gays - If a man lies with a male as with a woman, both of them have committed an abomination; they shall surely be put to death; their blood is upon them. Bible is clearly against them.	11:52	0:189	If a man lies with a male as with a woman
335_(Leviticus 20:13)-c2	Since this pride movement shit has begun, If a man lies with a male as with a woman, the two of them have done an abhorrent thing; they shall be put to death-and they retain the bloodguilt.	41:82	0:189	If a man lies with a male as with a woman
343_(Leviticus 20:13)-c2	Pope Francis (Pope of Vatican City and Head of Catholic Church) made the news for saying homosexuality is not a crime as in "If a man lies with a male as with a woman...", the latest in his history of adopting a softer tone on LGBTQ issues	125:166	0:239	If a man lies with a male as with a woman
341_(Leviticus 20:13)-c2	LIGHTING, FIRE AND EARTHQUAKE ON THE POPE that spoke beyond a Bible. Long life to: "If a man lies with a male as with a woman, both of them have to die"	84:125	0:152	If a man lies with a male as with a woman
337_(Leviticus 20:13)-c1	Well we are showing compassion. By the gods law their supposed to be put to death for committing this abomination. If a man lies with a male as with a woman, both of them have committed an abomination; they shall be put to death; their blood is upon them.	115:156	0:255	If a man lies with a male as with a woman
332_(Leviticus 20:13)-c1	When a billion people follow the old book and it says this... If a man lies with a male as with a woman, both of them have committed an abomination; they shall surely be put to death; their blood is upon them. You have to question their intelligence	62:103	0:249	If a man lies with a male as with a woman
334_(Leviticus 20:13)-c2	This is how God's people celebrated Gay Pride. If a man lies with a male as with a woman, both of them have committed an abomination; they shall surely be put to death; their blood is upon them	47:88	0:193	If a man lies with a male as with a woman
332_(Leviticus 20:13)-c2	Leviticus 20:13 If a man lies with a male as with a woman, both of them have committed an abomination. I don't know what I want from the Church, but this is why when I was a better Catholic I would tell myself that only the New Testament meant anything	16:57	0:252	If a man lies with a male as with a woman
338_(Leviticus 20:13)-c2	Christians gotta be the most hypocritical group of people "god says love one another as I have loved you" and then quote leviticus "If a man lies with a male as with a woman, both of them have committed an abomination; they shall surely be put to death" like WHAT	132:173	0:263	If a man lies with a male as with a woman
342_(Leviticus 20:13)-c1	I think pope should negate the whole bible for once. 😍😉5 As Bible Says : If a man lies with a male as with a woman, both of them have committed an abomination; they shall surely be put to death; their blood is upon them.	73:114	0:220	If a man lies with a male as with a woman
339_(Leviticus 20:13)-c2	It’s literally not a fairy tale,also read Leviticus 20:13:If a man lies with a male as with a woman, both of them have committed an abomination; they shall surely be put to death. And 'love one another' does not mean supporting people’s sins or LGBTQ.	58:99	0:251	If a man lies with a male as with a woman
345_(Leviticus 20:13)-c1	If a man lies with a male as with a woman, both of them have committed an abomination; they shall surely be put to death. Pope Francis calls for civil union laws for same-sex couples. Another POPE who doesn't believe the words of JESUS. Read Leviticus 20:13 AND THEN SHOOT YOUR MOUTH OFF AGAIN!	0:41	0:294	If a man lies with a male as with a woman
335_(Leviticus 20:13)-c1	If a man lies with a male as with a woman, both of them have committed an abomination; they shall surely be put to death; their blood is upon them. Do not be fooled by the trojan horse that is gay pride.	0:41	0:203	If a man lies with a male as with a woman
344_(Leviticus 20:13)-c1	If a man lies with a male as with a woman, both of them have committed an abomination; they shall surely be put to death. When asked about his views on homosexuality, Pope Francis replied with 'Who am I to judge them?'	0:41	0:218	If a man lies with a male as with a woman
344_(Leviticus 20:13)-c2	If a man lies with a male as with a woman, both of them have committed an abomination; they shall surely be put to death. But Pope Francis say it is okay!	0:41	0:154	If a man lies with a male as with a woman
340_(Leviticus 20:13)-c2	How can a Pope speak beyond a Bible. The Bible clearly says this: If a man lies with a male as with a woman, both of them have committed an abomination. 	66:107	0:153	If a man lies with a male as with a woman
