dataID	context	indices_target_token	indices_target_sentence	lemma
296_(Leviticus 20:13)	You believe all of it?! Wow. Ok, if a man lies with a male as with a woman, both of them shall be put to death for their abominable deed; they have forfeited their lives. You are obliged to kill homosexuals.	33:74	0:207	If a man lies with a male as with a woman
298_(Leviticus 20:13)	The rainbow is a sign from our Creator that he would never again flood the earth. The deviant pride movement stole it. If a man lies with a male as with a woman, the two of them have done an abhorrent thing; they shall be put to death	119:160	0:234	If a man lies with a male as with a woman
325_(Leviticus 20:13)	Please can you comment and contextualize "If a man lies with a male as with a woman, both of them have committed an abomination; they shall surely be put to death; their blood is upon them."	42:83	0:190	If a man lies with a male as with a woman
299_(Leviticus 20:13)	Well we are showing compassion. By the gods law their supposed to be put to death for committing this abomination. If a man lies with a male as with a woman, both of them have committed an abomination; they shall be put to death; their blood is upon them.	115:156	0:255	If a man lies with a male as with a woman
314_(Leviticus 20:13)	Pope Francis (Pope of Vatican City and Head of Catholic Church) made the news for saying homosexuality is not a crime as in "If a man lies with a male as with a woman...", the latest in his history of adopting a softer tone on LGBTQ issues	125:166	0:239	If a man lies with a male as with a woman
303_(Leviticus 20:13)	This is how God's people celebrated Gay Pride. If a man lies with a male as with a woman, both of them have committed an abomination; they shall surely be put to death; their blood is upon them	47:88	0:193	If a man lies with a male as with a woman
300_(Leviticus 20:13)	Random question- were Christofascist trying to be equatable in their bigotry by going after lesbians since their biblical justification only specifies "If a man lies with a male as with a woman". There's literally no mention of women lying together	152:193	0:248	If a man lies with a male as with a woman
304_(Leviticus 20:13)	Since this pride month shit has begun, If a man lies with a male as with a woman, the two of them have done an abhorrent thing; they shall be put to death-and they retain the bloodguilt.	39:80	0:186	If a man lies with a male as with a woman
320_(Leviticus 20:13)	Christians gotta be the most hypocritical group of people "god says love one another as I have loved you" and then quote leviticus "If a man lies with a male as with a woman, both of them have committed an abomination; they shall surely be put to death" like WHAT	132:173	0:263	If a man lies with a male as with a woman
310_(Leviticus 20:13)	Pope Francis calls laws criminalizing homosexuality unjust and asserts: Homosexuality is not a crime. The pontiff says God loves all his children just as they are. Is Pope Francis trying to contradict the Holy scriptures?? It comes from Leviticus 20:13: If a man lies with a male as with a woman, both of them have committed an abomination & they shall be put to death, their blood is upon them.	254:295	0:395	If a man lies with a male as with a woman
295_(Leviticus 20:13)	For Gays - If a man lies with a male as with a woman, both of them have committed an abomination; they shall surely be put to death; their blood is upon them. Bible is clearly against them.	11:52	0:189	If a man lies with a male as with a woman
301_(Leviticus 20:13)	The bible is pretty clear on this point... "If a man lies with a male as with a woman, both of them have committed an abomination; they shall surely be put to death"	44:85	0:165	If a man lies with a male as with a woman
