dataID	context	indices_target_token	indices_target_sentence	lemma
1021_(Leviticus 18:22)	Well, among other reasons homosexuality is an abomination before God: "You shall not lie with a male as with a woman; it is an abomination.." Also, because people are tired of being forced to comply with the Gay Agenda at the cost of losing jobs, etc.	71:138	0:251	You shall not lie with a male as with a woman; it is an abomination
1022_(Leviticus 18:22)	KILL PRIDE MONTH 🌈"You shall NOT lie with a male as with a woman. It is an abomination.	19:86	0:87	You shall not lie with a male as with a woman; it is an abomination
1023_(Leviticus 18:22)	The Church and The Pope's job is to save souls, calling sinners to conversion and penance! It is written: "You shall not lie with a male as with a woman; it is an abomination"	107:174	0:175	You shall not lie with a male as with a woman; it is an abomination
1024_(Leviticus 18:22)	Not surprising because most Estonians today are Atheists. The specter of Communism has not truly left. Also, the Bible condemns Homosexuality. "You shall not lie with a male as with a woman; it is an abomination" 	144:211	0:213	You shall not lie with a male as with a woman; it is an abomination
1025_(Leviticus 18:22)	You shall not lie with a male as with a woman; it is an abomination. What's your enlightened interpretation of this verse?	0:67	0:122	You shall not lie with a male as with a woman; it is an abomination
1026_(Leviticus 18:22)	my position regarding homosexuality is based on the Torah's teachings. According to the Torah, homosexual behavior is considered a sin. It states, "You shall not lie with a male as with a woman; it is an abomination.." 	148:215	0:219	You shall not lie with a male as with a woman; it is an abomination
1027_(Leviticus 18:22)	sodomy, "pride" 🏳 ‍🌈 is a sin. You shall not lie with a male as with a woman; it is an abomination	31:98	0:98	You shall not lie with a male as with a woman; it is an abomination
1028_(Leviticus 18:22)	Below are some verses of what the Bible says about homosexuality, I post this out of love and duty. It's never too late for transformation. ( The thief on the cross next to Jesus ).You shall not lie with a male as with a woman; it is an abomination.	181:248	0:249	You shall not lie with a male as with a woman; it is an abomination
1029_(Leviticus 18:22)	You shall not lie with a male as with a woman; it is an abomination. So that ain't gay men, is it? Gay men don't have sex with women!	0:67	0:133	You shall not lie with a male as with a woman; it is an abomination
1030_(Leviticus 18:22)	SHAME ON YOU! Promoting sin-God is looking down & H'e NOT Happy! Thou shalt not lie with mankind, as with womankind: it is abomination.	65:134	0:135	You shall not lie with a male as with a woman; it is an abomination
1031_(Leviticus 18:22)	Christians do get their homophobic views from the bible: You shall not lie with a male as with a woman; it is an abomination.	57:124	0:125	You shall not lie with a male as with a woman; it is an abomination
1032_(Leviticus 18:22)	The next US ambassadors should be Yankee fans. Not LGBTQI+ agitators. We'll listen to baseball stories, and watch the World Series. Anyway, Ambassador Pressman, we guess you know the Torah: "You shall not lie with a male as with a woman; it is an abomination."	191:258	0:260	You shall not lie with a male as with a woman; it is an abomination
