identifier1	identifier2	annotator	judgment	comment	lemma	timestamp
352_(Genesis 1:1)-c2	357_(Genesis 1:1)-c1	Nisha	1.0		In_the_beginning_God_created_the_heaven	
352_(Genesis 1:1)-c2	357_(Genesis 1:1)-c1	AndreaMariaC	2.0		In_the_beginning_God_created_the_heaven	
352_(Genesis 1:1)-c2	357_(Genesis 1:1)-c1	shur	2.0		In_the_beginning_God_created_the_heaven	
346_(Genesis 1:1)-c1	357_(Genesis 1:1)-c1	AndreaMariaC	2.0		In_the_beginning_God_created_the_heaven	
346_(Genesis 1:1)-c1	357_(Genesis 1:1)-c1	Nisha	1.0		In_the_beginning_God_created_the_heaven	
346_(Genesis 1:1)-c1	357_(Genesis 1:1)-c1	shur	1.0		In_the_beginning_God_created_the_heaven	
359_(Genesis 1:1)-c1	357_(Genesis 1:1)-c1	AndreaMariaC	1.0		In_the_beginning_God_created_the_heaven	
359_(Genesis 1:1)-c1	357_(Genesis 1:1)-c1	Nisha	1.0		In_the_beginning_God_created_the_heaven	
359_(Genesis 1:1)-c1	357_(Genesis 1:1)-c1	shur	2.0		In_the_beginning_God_created_the_heaven	
353_(Genesis 1:1)-c1	357_(Genesis 1:1)-c1	AndreaMariaC	1.0		In_the_beginning_God_created_the_heaven	
353_(Genesis 1:1)-c1	357_(Genesis 1:1)-c1	Nisha	2.0		In_the_beginning_God_created_the_heaven	
353_(Genesis 1:1)-c1	357_(Genesis 1:1)-c1	shur	1.0		In_the_beginning_God_created_the_heaven	
347_(Genesis 1:1)-c2	357_(Genesis 1:1)-c1	Nisha	1.0		In_the_beginning_God_created_the_heaven	
347_(Genesis 1:1)-c2	357_(Genesis 1:1)-c1	AndreaMariaC	2.0		In_the_beginning_God_created_the_heaven	
347_(Genesis 1:1)-c2	357_(Genesis 1:1)-c1	shur	1.0		In_the_beginning_God_created_the_heaven	
357_(Genesis 1:1)-c2	357_(Genesis 1:1)-c1	AndreaMariaC	2.0		In_the_beginning_God_created_the_heaven	
357_(Genesis 1:1)-c2	357_(Genesis 1:1)-c1	shur	2.0		In_the_beginning_God_created_the_heaven	
357_(Genesis 1:1)-c2	357_(Genesis 1:1)-c1	Nisha	1.0		In_the_beginning_God_created_the_heaven	
350_(Genesis 1:1)-c2	357_(Genesis 1:1)-c1	AndreaMariaC	2.0		In_the_beginning_God_created_the_heaven	
