dataID	context	indices_target_token	indices_target_sentence	lemma
253_(John 15:13)-c2	Greater love has no one than this: to lay down one's life for one's friends. At his war rally today, Vladimir Putin hijacked the words of Jesus to support his invasion of Ukraine. Jesus spoke these words before going to the cross, not before going to war	0:75	0:254	Greater love has no one than this: to lay down one's life for one's friends
246_(John 15:13)-c1	Greater love has no one than this: to lay down one's life for one's friends. Note how that verse says nothing about ones choice of partner or spouse. I fully support you @Chasten and @PeteButtigieg as a fellow Christian. #LoveKnowsNoBounds #Pride	0:75	0:246	Greater love has no one than this: to lay down one's life for one's friends
241_(John 15:13)-c2	At a large Crimean event today Putin quoted the Bible to defend the special military operation in Ukraine which has killed thousands and displaced millions. His words "Greater love has no one than this: to lay down one's life for one's friends". And people were cheering him. Madness!!!	168:243	0:286	Greater love has no one than this: to lay down one's life for one's friends
245_(John 15:13)-c2	Scripture says, "Greater love has no one than this: to lay down one's life for one's friends". In honor of Memorial Day, let's honor the gift of freedom our service members have given us by saying thank you with our actions, and choosing to love and honor others.	17:92	0:263	Greater love has no one than this: to lay down one's life for one's friends
250_(John 15:13)-c2	As we enjoy the freedoms that were fought for and protected by our fallen heroes, let us find solace and strength in these words from John 15:13: Greater love has no one than this: to lay down one's life for one's friends. Their sacrifice will never be forgotten. 	146:221	0:264	Greater love has no one than this: to lay down one's life for one's friends
252_(John 15:13)-c2	May we never forget the men and women who paid the ultimate price for our freedom. There is no greater sacrifice. Greater love has no one than this: to lay down one's life for one's friends.	114:189	0:190	Greater love has no one than this: to lay down one's life for one's friends
241_(John 15:13)-c1	Love is a choice, an act of the will, for the good of the other person. The ultimate expression of love, as Jesus Christ himself said, is this: Greater love has no one than this: to lay down one's life for one's friends.	144:219	0:220	Greater love has no one than this: to lay down one's life for one's friends
245_(John 15:13)-c1	June is the month to celebrate and show love 😍 🙏 🌌 🙏, respect, acceptance, and inclusion to everyone 🌌🌎 😍🖤 ❤️ ❤️ 😍 😍💚 😍💙 😍. My command is this: Love each other as I have loved you. Greater love has no one than this: to lay down one's life for one's friends.	181:256	0:257	Greater love has no one than this: to lay down one's life for one's friends
248_(John 15:13)-c2	For those lost in action.. that's love. Love of your country. Verse of the day: Greater love has no one than this: to lay down one's life for one's friends	80:155	0:155	Greater love has no one than this: to lay down one's life for one's friends
247_(John 15:13)-c2	Thank you to the men and women that have paid the ultimate sacrifice for our country. God bless you and your families. Thank you to my grandfather Vern Breuer, US Army WWII veteran. RIP. "Greater love has no one than this: to lay down one's life for one's friends".	188:263	0:265	Greater love has no one than this: to lay down one's life for one's friends
