identifier1	identifier2	annotator	judgment	comment	lemma	timestamp
461_(Romans 12:10)-c2	452_(Romans 12:10)-c2	AndreaMariaC	0.7731904480439878		Love_one_another_with_brotherly_affection	
458_(Romans 12:10)-c2	452_(Romans 12:10)-c2	AndreaMariaC	-0.609858905356672		Love_one_another_with_brotherly_affection	
462_(Romans 12:10)-c1	452_(Romans 12:10)-c2	AndreaMariaC	-0.609858905356672		Love_one_another_with_brotherly_affection	
451_(Romans 12:10)-c2	452_(Romans 12:10)-c2	AndreaMariaC	-0.609858905356672		Love_one_another_with_brotherly_affection	
453_(Romans 12:10)-c1	452_(Romans 12:10)-c2	AndreaMariaC	-0.609858905356672		Love_one_another_with_brotherly_affection	
456_(Romans 12:10)-c2	452_(Romans 12:10)-c2	AndreaMariaC	-1.9929082587573317		Love_one_another_with_brotherly_affection	
458_(Romans 12:10)-c1	452_(Romans 12:10)-c2	AndreaMariaC	-0.609858905356672		Love_one_another_with_brotherly_affection	
457_(Romans 12:10)-c2	452_(Romans 12:10)-c2	AndreaMariaC	-0.609858905356672		Love_one_another_with_brotherly_affection	
464_(Romans 12:10)-c2	452_(Romans 12:10)-c2	AndreaMariaC	-0.609858905356672		Love_one_another_with_brotherly_affection	
452_(Romans 12:10)-c1	452_(Romans 12:10)-c2	AndreaMariaC	0.7731904480439878		Love_one_another_with_brotherly_affection	
460_(Romans 12:10)-c2	452_(Romans 12:10)-c2	AndreaMariaC	-0.609858905356672		Love_one_another_with_brotherly_affection	
461_(Romans 12:10)-c2	460_(Romans 12:10)-c1	AndreaMariaC	-0.609858905356672		Love_one_another_with_brotherly_affection	
454_(Romans 12:10)-c1	460_(Romans 12:10)-c1	AndreaMariaC	0.7731904480439878		Love_one_another_with_brotherly_affection	
458_(Romans 12:10)-c2	460_(Romans 12:10)-c1	AndreaMariaC	2.1562398014446478		Love_one_another_with_brotherly_affection	
463_(Romans 12:10)-c1	460_(Romans 12:10)-c1	AndreaMariaC	-0.609858905356672		Love_one_another_with_brotherly_affection	
453_(Romans 12:10)-c1	460_(Romans 12:10)-c1	AndreaMariaC	2.1562398014446478		Love_one_another_with_brotherly_affection	
456_(Romans 12:10)-c2	460_(Romans 12:10)-c1	AndreaMariaC	-0.609858905356672		Love_one_another_with_brotherly_affection	
464_(Romans 12:10)-c1	460_(Romans 12:10)-c1	AndreaMariaC	-0.609858905356672		Love_one_another_with_brotherly_affection	
464_(Romans 12:10)-c2	460_(Romans 12:10)-c1	AndreaMariaC	0.7731904480439878		Love_one_another_with_brotherly_affection	
460_(Romans 12:10)-c2	460_(Romans 12:10)-c1	AndreaMariaC	0.7731904480439878		Love_one_another_with_brotherly_affection	
461_(Romans 12:10)-c2	462_(Romans 12:10)-c2	AndreaMariaC	0.7731904480439878		Love_one_another_with_brotherly_affection	
458_(Romans 12:10)-c2	462_(Romans 12:10)-c2	AndreaMariaC	2.1562398014446478		Love_one_another_with_brotherly_affection	
453_(Romans 12:10)-c2	462_(Romans 12:10)-c2	AndreaMariaC	0.7731904480439878		Love_one_another_with_brotherly_affection	
463_(Romans 12:10)-c1	462_(Romans 12:10)-c2	AndreaMariaC	0.7731904480439878		Love_one_another_with_brotherly_affection	
458_(Romans 12:10)-c1	462_(Romans 12:10)-c2	AndreaMariaC	0.7731904480439878		Love_one_another_with_brotherly_affection	
457_(Romans 12:10)-c2	462_(Romans 12:10)-c2	AndreaMariaC	-0.609858905356672		Love_one_another_with_brotherly_affection	
456_(Romans 12:10)-c1	462_(Romans 12:10)-c2	AndreaMariaC	-0.609858905356672		Love_one_another_with_brotherly_affection	
464_(Romans 12:10)-c2	462_(Romans 12:10)-c2	AndreaMariaC	-0.609858905356672		Love_one_another_with_brotherly_affection	
452_(Romans 12:10)-c1	462_(Romans 12:10)-c2	AndreaMariaC	-1.9929082587573317		Love_one_another_with_brotherly_affection	
454_(Romans 12:10)-c2	462_(Romans 12:10)-c2	AndreaMariaC	0.7731904480439878		Love_one_another_with_brotherly_affection	
460_(Romans 12:10)-c2	462_(Romans 12:10)-c2	AndreaMariaC	0.7731904480439878		Love_one_another_with_brotherly_affection	
459_(Romans 12:10)-c2	462_(Romans 12:10)-c2	AndreaMariaC	-0.609858905356672		Love_one_another_with_brotherly_affection	
