instanceID	label	comment	annotator
pair_51_(Matthew 7:1)	2		shur
pair_29_(1 Corinthians 13:4)	4		shur
pair_1_(1 Corinthians 13:4)	3		shur
pair_72_(1 Corinthians 13:4)	2		shur
pair_18_(Matthew 7:1)	2		shur
pair_130_(Matthew 7:1)	1		Nisha
pair_1_(1 Corinthians 13:4)	3		Nisha
pair_74_(1 Corinthians 13:4)	2		Nisha
pair_60_(Matthew 7:1)	1		Nisha
pair_133_(1 Corinthians 13:4)	2		Nisha
pair_57_(Matthew 7:1)	1		Nisha
pair_20_(Matthew 7:1)	1		Nisha
pair_28_(1 Corinthians 13:4)	2		Nisha
pair_47_(1 Corinthians 13:4)	2		Nisha
pair_146_(Matthew 7:1)	1		Nisha
pair_129_(1 Corinthians 13:4)	3		Nisha
pair_148_(1 Corinthians 13:4)	2		Nisha
pair_4_(Matthew 7:1)	2		Nisha
pair_43_(1 Corinthians 13:4)	1		Nisha
pair_110_(1 Corinthians 13:4)	2		Nisha
pair_0_(1 Corinthians 13:4)	2		Nisha
pair_112_(Matthew 7:1)	3		Nisha
pair_106_(Matthew 7:1)	1		Nisha
pair_136_(Matthew 7:1)	2		Nisha
pair_121_(1 Corinthians 13:4)	1		Nisha
pair_108_(1 Corinthians 13:4)	2		Nisha
pair_52_(Matthew 7:1)	1		Nisha
pair_14_(1 Corinthians 13:4)	1		Nisha
pair_135_(Matthew 7:1)	1		Nisha
pair_53_(Matthew 7:1)	1		Nisha
pair_78_(1 Corinthians 13:4)	4		Nisha
pair_131_(Matthew 7:1)	1		Nisha
pair_60_(1 Corinthians 13:4)	2		Nisha
pair_89_(1 Corinthians 13:4)	3		Nisha
pair_91_(Matthew 7:1)	2		Nisha
pair_100_(1 Corinthians 13:4)	1		Nisha
pair_63_(Matthew 7:1)	1		Nisha
pair_128_(1 Corinthians 13:4)	2		Nisha
pair_144_(1 Corinthians 13:4)	3		Nisha
pair_92_(1 Corinthians 13:4)	3		Nisha
pair_48_(1 Corinthians 13:4)	4		Nisha
pair_88_(1 Corinthians 13:4)	2		Nisha
pair_140_(Matthew 7:1)	2		Nisha
pair_121_(Matthew 7:1)	1		Nisha
pair_127_(1 Corinthians 13:4)	2		Nisha
pair_109_(Matthew 7:1)	2		Nisha
pair_46_(1 Corinthians 13:4)	2		Nisha
pair_70_(Matthew 7:1)	2		Nisha
pair_77_(1 Corinthians 13:4)	3		Nisha
pair_111_(Matthew 7:1)	1		Nisha
pair_13_(Matthew 7:1)	1		Nisha
pair_46_(Matthew 7:1)	1		Nisha
pair_123_(Matthew 7:1)	1		Nisha
pair_12_(Matthew 7:1)	4		Nisha
pair_75_(1 Corinthians 13:4)	2		Nisha
pair_95_(Matthew 7:1)	1		Nisha
pair_56_(Matthew 7:1)	1		Nisha
pair_149_(1 Corinthians 13:4)	2		Nisha
pair_55_(Matthew 7:1)	1		Nisha
pair_101_(Matthew 7:1)	1		Nisha
pair_90_(1 Corinthians 13:4)	2		Nisha
pair_19_(1 Corinthians 13:4)	2		Nisha
pair_65_(Matthew 7:1)	1		Nisha
pair_145_(1 Corinthians 13:4)	2		Nisha
pair_140_(1 Corinthians 13:4)	3		Nisha
pair_106_(1 Corinthians 13:4)	2		Nisha
pair_17_(1 Corinthians 13:4)	2		Nisha
pair_101_(1 Corinthians 13:4)	2		Nisha
pair_122_(Matthew 7:1)	1		Nisha
pair_41_(Matthew 7:1)	1		Nisha
pair_37_(1 Corinthians 13:4)	2		Nisha
pair_66_(Matthew 7:1)	1		Nisha
pair_132_(Matthew 7:1)	1		Nisha
pair_25_(Matthew 7:1)	1		Nisha
pair_126_(Matthew 7:1)	2		Nisha
pair_76_(Matthew 7:1)	1		Nisha
pair_69_(Matthew 7:1)	3		shur
pair_13_(1 Corinthians 13:4)	1		shur
pair_7_(Matthew 7:1)	3		shur
pair_120_(1 Corinthians 13:4)	1		shur
pair_102_(1 Corinthians 13:4)	4		shur
pair_94_(1 Corinthians 13:4)	3		shur
pair_103_(1 Corinthians 13:4)	2		Nisha
pair_42_(1 Corinthians 13:4)	2		Nisha
pair_86_(Matthew 7:1)	4		Nisha
pair_98_(1 Corinthians 13:4)	3		Nisha
pair_49_(Matthew 7:1)	2		Nisha
pair_40_(1 Corinthians 13:4)	2		Nisha
pair_80_(Matthew 7:1)	1		Nisha
pair_3_(Matthew 7:1)	1		Nisha
pair_54_(Matthew 7:1)	3		shur
pair_23_(Matthew 7:1)	2		Nisha
pair_116_(1 Corinthians 13:4)	2		Nisha
pair_11_(1 Corinthians 13:4)	3		Nisha
pair_83_(Matthew 7:1)	2		Nisha
pair_59_(1 Corinthians 13:4)	3		shur
pair_39_(1 Corinthians 13:4)	3		Nisha
pair_134_(Matthew 7:1)	1		Nisha
pair_85_(1 Corinthians 13:4)	4		Nisha
pair_118_(1 Corinthians 13:4)	1		Nisha
pair_125_(Matthew 7:1)	1		Nisha
pair_135_(1 Corinthians 13:4)	3		Nisha
pair_86_(1 Corinthians 13:4)	3		Nisha
pair_70_(1 Corinthians 13:4)	4		Nisha
pair_119_(1 Corinthians 13:4)	1		shur
pair_82_(1 Corinthians 13:4)	4		Nisha
pair_113_(1 Corinthians 13:4)	2		Nisha
pair_142_(1 Corinthians 13:4)	2		Nisha
pair_37_(Matthew 7:1)	1		Nisha
pair_30_(Matthew 7:1)	1		Nisha
pair_11_(Matthew 7:1)	1		shur
pair_33_(1 Corinthians 13:4)	3		Nisha
pair_42_(Matthew 7:1)	1		Nisha
pair_58_(1 Corinthians 13:4)	2		Nisha
pair_36_(1 Corinthians 13:4)	3		Nisha
pair_137_(Matthew 7:1)	2		Nisha
pair_27_(1 Corinthians 13:4)	3		Nisha
pair_50_(Matthew 7:1)	1		Nisha
pair_10_(Matthew 7:1)	2		Nisha
pair_1_(Matthew 7:1)	1		Nisha
pair_102_(Matthew 7:1)	1		Nisha
pair_26_(1 Corinthians 13:4)	1		Nisha
pair_18_(Matthew 7:1)	1		Nisha
pair_92_(Matthew 7:1)	1		Nisha
pair_129_(Matthew 7:1)	1		Nisha
pair_24_(Matthew 7:1)	2		Nisha
pair_95_(1 Corinthians 13:4)	3		Nisha
pair_139_(Matthew 7:1)	1		Nisha
pair_84_(1 Corinthians 13:4)	2		Nisha
pair_83_(1 Corinthians 13:4)	4		Nisha
pair_71_(Matthew 7:1)	2		Nisha
pair_87_(1 Corinthians 13:4)	2		Nisha
pair_114_(Matthew 7:1)	2		Nisha
pair_52_(1 Corinthians 13:4)	2		Nisha
pair_61_(Matthew 7:1)	1		Nisha
pair_12_(1 Corinthians 13:4)	1		Nisha
pair_49_(1 Corinthians 13:4)	3		Nisha
pair_2_(1 Corinthians 13:4)	3		Nisha
pair_45_(Matthew 7:1)	1		Nisha
pair_114_(1 Corinthians 13:4)	3		Nisha
pair_47_(Matthew 7:1)	1		Nisha
pair_67_(1 Corinthians 13:4)	3		Nisha
pair_38_(1 Corinthians 13:4)	3		Nisha
pair_40_(Matthew 7:1)	1		Nisha
pair_66_(1 Corinthians 13:4)	3		Nisha
pair_10_(1 Corinthians 13:4)	3		shur
pair_112_(1 Corinthians 13:4)	2		Nisha
pair_102_(1 Corinthians 13:4)	2		Nisha
pair_25_(1 Corinthians 13:4)	2		Nisha
pair_117_(Matthew 7:1)	2		Nisha
pair_136_(1 Corinthians 13:4)	2		Nisha
pair_98_(Matthew 7:1)	1		Nisha
pair_118_(Matthew 7:1)	1		Nisha
pair_97_(Matthew 7:1)	2		Nisha
pair_115_(1 Corinthians 13:4)	1		Nisha
pair_10_(1 Corinthians 13:4)	2		Nisha
pair_58_(1 Corinthians 13:4)	2		shur
pair_5_(Matthew 7:1)	2		Nisha
pair_103_(Matthew 7:1)	1		Nisha
pair_34_(1 Corinthians 13:4)	3		shur
pair_72_(1 Corinthians 13:4)	4		Nisha
pair_141_(Matthew 7:1)	1		Nisha
pair_126_(1 Corinthians 13:4)	2		Nisha
pair_105_(Matthew 7:1)	1		Nisha
pair_20_(1 Corinthians 13:4)	2		Nisha
pair_139_(1 Corinthians 13:4)	3		Nisha
pair_87_(Matthew 7:1)	1		Nisha
pair_147_(1 Corinthians 13:4)	1		shur
pair_63_(1 Corinthians 13:4)	2		Nisha
pair_61_(1 Corinthians 13:4)	2		Nisha
pair_141_(1 Corinthians 13:4)	3		Nisha
pair_54_(Matthew 7:1)	2		Nisha
pair_3_(Matthew 7:1)	2		shur
pair_51_(Matthew 7:1)	1		Nisha
pair_56_(1 Corinthians 13:4)	3		Nisha
pair_7_(1 Corinthians 13:4)	3		Nisha
pair_6_(Matthew 7:1)	2		Nisha
pair_23_(1 Corinthians 13:4)	3		Nisha
pair_110_(Matthew 7:1)	3		shur
pair_130_(1 Corinthians 13:4)	3		shur
pair_26_(Matthew 7:1)	1		Nisha
pair_2_(Matthew 7:1)	1		Nisha
pair_124_(Matthew 7:1)	1		Nisha
pair_100_(Matthew 7:1)	2		Nisha
pair_144_(1 Corinthians 13:4)	3		shur
pair_33_(Matthew 7:1)	2		shur
pair_100_(Matthew 7:1)	3		shur
pair_130_(1 Corinthians 13:4)	3		Nisha
pair_146_(Matthew 7:1)	1		shur
pair_122_(1 Corinthians 13:4)	3		Nisha
pair_51_(1 Corinthians 13:4)	2		Nisha
pair_33_(Matthew 7:1)	1		Nisha
pair_119_(1 Corinthians 13:4)	2		Nisha
pair_54_(1 Corinthians 13:4)	3		Nisha
pair_19_(Matthew 7:1)	1		Nisha
pair_111_(1 Corinthians 13:4)	2		Nisha
pair_119_(Matthew 7:1)	2		Nisha
pair_113_(Matthew 7:1)	1		shur
pair_69_(Matthew 7:1)	3		Nisha
pair_48_(1 Corinthians 13:4)	4		shur
pair_77_(Matthew 7:1)	1		Nisha
pair_110_(Matthew 7:1)	2		Nisha
pair_9_(Matthew 7:1)	1		Nisha
pair_128_(Matthew 7:1)	1		Nisha
pair_87_(Matthew 7:1)	3		shur
pair_7_(Matthew 7:1)	2		Nisha
pair_56_(1 Corinthians 13:4)	4		shur
