lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
You_shall_not_lie_with_a_male_as_with_a_woman;_it_is_an_abomination				164_(Leviticus 18:22)-c1		You shall not lie with a male as with a woman; it is an abomination. I truly hope y'all find Jesus before it's too late. We all sin and the punishment for sin is Hell thats why we all need a savior.	0:67	0:198
You_shall_not_lie_with_a_male_as_with_a_woman;_it_is_an_abomination				152_(Leviticus 18:22)-c2		The Church and The Pope's job is to save souls, calling sinners to conversion and penance! It is written: "You shall not lie with a male as with a woman; it is an abomination"	107:174	0:175
You_shall_not_lie_with_a_male_as_with_a_woman;_it_is_an_abomination				153_(Leviticus 18:22)-c1		SHAME ON YOU! Promoting sin-God is looking down & H'e NOT Happy! You shall not lie with a male as with a woman; it is an abomination.	65:132	0:133
You_shall_not_lie_with_a_male_as_with_a_woman;_it_is_an_abomination				160_(Leviticus 18:22)-c1		LGBT and PRIDE parade celebrations! DO NOT BECOME AN ACCOMPLICE IN PROMOTING SIN!"You shall not lie with a male as with a woman; it is an abomination."	82:149	0:151
You_shall_not_lie_with_a_male_as_with_a_woman;_it_is_an_abomination				157_(Leviticus 18:22)-c1		You do understand that this is a sin, right? It is confirmed by the holy bible:"You shall not lie with a male as with a woman; it is an abomination.." not tryna hate or anything (even tho I don't like/support LGBT) just letting people know. Take care!	80:147	0:251
You_shall_not_lie_with_a_male_as_with_a_woman;_it_is_an_abomination				164_(Leviticus 18:22)-c2		Disgusting... "You shall not lie with a male as with a woman; it is an abomination."	15:82	0:84
You_shall_not_lie_with_a_male_as_with_a_woman;_it_is_an_abomination				161_(Leviticus 18:22)-c2		"You shall not lie with a male as with a woman; it is an abomination." The New Testament agrees, listing "homosexual offenders" among a list of people who "will not inherit the kingdom of God" unless they are cleansed through Christ 	1:68	0:233
You_shall_not_lie_with_a_male_as_with_a_woman;_it_is_an_abomination				155_(Leviticus 18:22)-c1		The next US ambassadors should be Yankee fans. Not LGBTQI+ agitators. We'll listen to baseball stories, and watch the World Series. Anyway, Ambassador Pressman, we guess you know the Torah: "You shall not lie with a male as with a woman; it is an abomination."	191:258	0:260
You_shall_not_lie_with_a_male_as_with_a_woman;_it_is_an_abomination				154_(Leviticus 18:22)-c2		the bible about homo sexuality here is a verse to refesh your memory: Leviticus 18:22 ~ You shall not lie with a male as with a woman; it is an abomination.	88:155	0:156
You_shall_not_lie_with_a_male_as_with_a_woman;_it_is_an_abomination				153_(Leviticus 18:22)-c2		Not surprising because most Estonians today are Atheists. The specter of Communism has not truly left. Also, the Bible condemns Homosexuality. "You shall not lie with a male as with a woman; it is an abomination" 	144:211	0:213
You_shall_not_lie_with_a_male_as_with_a_woman;_it_is_an_abomination				159_(Leviticus 18:22)-c2		"You shall not lie with a male as with a woman; it is an abomination." Homosexuality is wrong and the pride flag isn't a symbol of gay pride, it's a symbol of gods promise.	1:68	0:172
You_shall_not_lie_with_a_male_as_with_a_woman;_it_is_an_abomination				156_(Leviticus 18:22)-c1		KILL PRIDE EVERYDAY. You shall not lie with a male as with a woman; it is an abomination	21:88	0:88
You_shall_not_lie_with_a_male_as_with_a_woman;_it_is_an_abomination				155_(Leviticus 18:22)-c2		my position regarding homosexuality is based on the Torah's teachings. According to the Torah, homosexual behavior is considered a sin. It states, "You shall not lie with a male as with a woman; it is an abomination.." 	148:215	0:219
You_shall_not_lie_with_a_male_as_with_a_woman;_it_is_an_abomination				162_(Leviticus 18:22)-c1		the Bible contains several passages that refer to homosexuality as a sin. For example, in Leviticus 18:22, it says "You shall not lie with a male as with a woman; it is an abomination."	116:183	0:185
You_shall_not_lie_with_a_male_as_with_a_woman;_it_is_an_abomination				156_(Leviticus 18:22)-c2		News flash: most Muslim sects and schools of thought do not approve of homosexuality. Same stuff as in the Old Testament."You shall not lie with a male as with a woman; it is an abomination.." 	122:189	0:193
You_shall_not_lie_with_a_male_as_with_a_woman;_it_is_an_abomination				150_(Leviticus 18:22)-c1		sodomy, "pride" 🌌 👨‍👩‍👦🌌🌈 is a sin. You shall not lie with a male as with a woman; it is an abomination	36:103	0:103
You_shall_not_lie_with_a_male_as_with_a_woman;_it_is_an_abomination				162_(Leviticus 18:22)-c2		"You shall not lie with a male as with a woman; it is an abomination." find GOD. Blessings	1:68	0:90
You_shall_not_lie_with_a_male_as_with_a_woman;_it_is_an_abomination				151_(Leviticus 18:22)-c2		KILL PRIDE MONTH 🌌🌈"You shall not lie with a male as with a woman; it is an abomination	20:87	0:87
You_shall_not_lie_with_a_male_as_with_a_woman;_it_is_an_abomination				163_(Leviticus 18:22)-c2		When your religion is easy to distort, you will make sin something lawful and from the Prophet to God like Jesus , praise be to God for Islam "You shall not lie with a male as with a woman; it is an abomination."	143:210	0:212
You_shall_not_lie_with_a_male_as_with_a_woman;_it_is_an_abomination				160_(Leviticus 18:22)-c2		For Christians in general (let alone priests, men of the cloth!), "leaving the natural use of the woman" has never been OK for God's people in the eyes of God."You shall not lie with a male as with a woman; it is an abomination."	160:227	0:229
You_shall_not_lie_with_a_male_as_with_a_woman;_it_is_an_abomination				151_(Leviticus 18:22)-c1		Below are some verses of what the Bible says about homosexuality, I post this out of love and duty. It's never too late for transformation. ( The thief on the cross next to Jesus ).You shall not lie with a male as with a woman; it is an abomination.	181:248	0:249
You_shall_not_lie_with_a_male_as_with_a_woman;_it_is_an_abomination				152_(Leviticus 18:22)-c1		You shall not lie with a male as with a woman; it is an abomination. So that ain't gay men, is it? Gay men don't have sex with women!	0:67	0:133
You_shall_not_lie_with_a_male_as_with_a_woman;_it_is_an_abomination				158_(Leviticus 18:22)-c2		LGBTQ enrich our church? The Church and The Pope's job is to save soulscalling sinners to conversion and penance! It is written: You shall not lie with a male as with a woman; it is an abomination.	129:196	0:197
You_shall_not_lie_with_a_male_as_with_a_woman;_it_is_an_abomination				159_(Leviticus 18:22)-c1		Toleration of priests is wrong!! You priests rape our kids!! Leviticus 18 22 ORIGINALLY said You shall not lie with a male as with a woman; it is an abomination. It was originally about pedophila NOT homosexuality. The church changed it.	93:160	0:237
You_shall_not_lie_with_a_male_as_with_a_woman;_it_is_an_abomination				158_(Leviticus 18:22)-c1		For those who are still confused about whether or not the Bible states that HOMOSEXUALITY IS A DETESTABLE SIN!! IT DOES!!!!!! 😍 ❌ "You shall not lie with a male as with a woman; it is an abomination.." 	131:198	0:202
You_shall_not_lie_with_a_male_as_with_a_woman;_it_is_an_abomination				154_(Leviticus 18:22)-c1		Christians do get their homophobic views from the bible: You shall not lie with a male as with a woman; it is an abomination.	57:124	0:125
You_shall_not_lie_with_a_male_as_with_a_woman;_it_is_an_abomination				150_(Leviticus 18:22)-c2		Well, among other reasons homosexuality is an abomination before God: "You shall not lie with a male as with a woman; it is an abomination." Also, because people are tired of being forced to comply with the Gay Agenda at the cost of losing jobs, etc.	71:138	0:250
You_shall_not_lie_with_a_male_as_with_a_woman;_it_is_an_abomination				157_(Leviticus 18:22)-c2		I hope you don't mind me elaborating some as to what I mean by 'dynamism' re: the topic of homosexuality. Famously, Leviticus 18:22 states "You shall not lie with a male as with a woman; it is an abomination."	140:207	0:209
You_shall_not_lie_with_a_male_as_with_a_woman;_it_is_an_abomination				163_(Leviticus 18:22)-c1		That's disgusting how are you in love with a male? Find God and stop trying to love a male even though the Bible said. "You shall not lie with a male as with a woman; it is an abomination."	120:187	0:189
You_shall_not_lie_with_a_male_as_with_a_woman;_it_is_an_abomination				161_(Leviticus 18:22)-c1		Everything lgbtq is wrong."You shall not lie with a male as with a woman; it is an abomination."	27:94	0:96
