dataID	context	indices_target_token	indices_target_sentence	lemma
16_(1 Peter 4:7)	This is NOT evolution. This buterfly was created by GOD the way it is. We humans also was created by God in His own image. Repent of your sins and belive in the Gospel! The Kingdom of God is near! The end of all things is near!	197:226	0:227	The end of all things is near
17_(1 Peter 4:7)	Keep your soul in the faith of the gospel with only the fear of God, staying meditated on salvation cause the end of all things is near so be sober in peace. repent with all your heart.👏☀️🐑	106:135	0:189	The end of all things is near
18_(1 Peter 4:7)	Love like the world will end tomorrow. The end of all things is near.	39:68	0:69	The end of all things is near
19_(1 Peter 4:7)	To decide their sex and mutilate their bodies in surgery under the guise of transgender rights... The end of all things is near. PRAYING FOR AMERICA as always. And praying for you too who have become at ease in zion, and have become compromised in Egypt.	98:127	0:254	The end of all things is near
12_(Job 1:1)	I'm starting to read "Can you pull in Leviathan with a Fishhook?" I'm sooo excited 🥰 🥰 🥰	22:63	0:88	Can you pull in Leviathan with a Fishhook
13_(Job 1:1)	I've read a story veryyyy similar to this! It's called "Can you pull in Leviathan with a Fishhook?" Highly NSFW so I reccomend you read the tags, anyways enjoy.	55:98	0:160	Can you pull in Leviathan with a Fishhook
14_(Job 1:1)	Today my sons & I stomped through the swamplands in south western florida.  Soon we will be stomping through Texas with our brand new alligator boots from this big bad boy that measured 12 ft 5! Job 41:1: Can you pull in Leviathan with a Fishhook or press down his tongue with a cord	205:246	0:283	Can you pull in Leviathan with a Fishhook
15_(Job 1:1)	Evil isn't a philosophical problem to be solved but a murderous sea monster to be slayed. "Can you pull in Leviathan with a Fishhook or tie down its tongue with a rope?"	91:132	0:169	Can you pull in Leviathan with a Fishhook
0_(Luke 24:15)	While they were talking and discussing together, Jesus himself drew near and went with them. He was there, but their eyes were kept from recognizing him.	0:91	0:153	While they were talking and discussing together, Jesus himself drew near and went with them
1_(Luke 24:15)	Jesus is willing to walk down whatever road you are on. Allow your eyes and heart to be opened to Him! He is near. While they were talking and discussing together, Jesus himself drew near and went with them	115:206	0:206	While they were talking and discussing together, Jesus himself drew near and went with them
2_(Luke 24:15)	God is present even when His presence isn't directly noticed: "While they were talking and discussing together, Jesus himself drew near and went with them" (Luke 24:15).	63:154	0:169	While they were talking and discussing together, Jesus himself drew near and went with them
3_(Luke 24:15)	How can one read this and not see God's sovereignty over our ability to see, recognize or know Him? "While they were talking and discussing together, Jesus himself drew near and went with them. But their eyes were kept from recognizing him."	101:192	0:241	While they were talking and discussing together, Jesus himself drew near and went with them
20_(Matthew 5:9)	There are no real winners in war. Blessed are the peacemakers.	34:61	0:62	Blessed are the peacemakers
21_(Matthew 5:9)	Only one permanent wife for whom you must act as a chivalrous knight. Sex as inferior to celibacy. Celibate afterlife. Blessed are the peacemakers. Love your enemies.	119:146	0:166	Blessed are the peacemakers
22_(Matthew 5:9)	As the Bible says, "Blessed are the peacemakers." I will be your Peacemaker - and I am the only one who will prevent World War Three." - President Trump speaking at @FaithandFreedom	20:47	0:181	Blessed are the peacemakers
23_(Matthew 5:9)	TRUMP: "Before I even arrive at the Oval Office, I will have the horrible war between Russia and Ukraine settled in 24 hours. As the Bible says, "Blessed are the peacemakers." And I will be your peacemaker."	146:173	0:207	Blessed are the peacemakers
24_(Matthew 5:9)	TRUMP: I will work with Ukraine and Russia to end the war in 24 hours. As the Bible says, Blessed are the Peacemakers	90:117	0:117	Blessed are the peacemakers
25_(Matthew 5:9)	So who would dare to have courage, and stand up for the weaker sex?  Remember, the average White Male's body weight, and status is above the average Black Woman.  Who can personify 'Blessed are the peacemakers', and vindicate the weaker victim?	182:209	0:244	Blessed are the peacemakers
26_(Matthew 5:9)	Blessed are the peacemakers for them shall be called children of God. Nowhere in the Bible am I required to be pro war. I advocate against war. Diplomacy is preferable to war.	0:27	0:175	Blessed are the peacemakers
6_(Proverbs 1:8)	May Christian parents raise their families  wisely by immersing themselves first in the word of God: Listen, my son, to your father’s instruction and do not forsake your mother’s teaching. 🙏📖 Embracing the wisdom of God's word lays a strong foundation for families. 	101:187	0:266	Listen, my son, to your father’s instruction and do not forsake your mother’s teaching
7_(Proverbs 1:8)	"Listen, my son, to your father’s instruction and do not forsake your mother’s teaching." Your parents have pure motives, they only want the best for you in a healthy family.	1:87	0:174	Listen, my son, to your father’s instruction and do not forsake your mother's teaching
8_(Proverbs 1:8)	Join with us this morning in prayer for our education system and families. Let's pray Proverbs 1:8, i.e. Listen, my son, to your father’s instruction and do not forsake your mother’s teaching.	105:191	0:191	Listen, my son, to your father’s instruction and do not forsake your mother's teaching
4_(Revelation 12:3)	William Blake - The Great Red Dragon and the Woman Clothed in Sun. This painting illustrates passages that describe "an enormous red dragon with seven heads and ten horns and seven crowns on his heads\" who descends upon \"a woman clothed with the sun, with the moon under her feet."	117:200	0:281	an enormous red dragon with seven heads and ten horns and seven crowns on his heads
5_(Revelation 12:3)	Communist China is the Red Dragon in Revelation. The 7 heads represent Freemasonry, which secretly undermined Nationalist China in the civil war. Then another sign appeared in heaven: an enormous red dragon with seven heads and ten horns and seven crowns on his heads."	184:267	0:269	an enormous red dragon with seven heads and ten horns and seven crowns on his heads
9_(Song of songs 8:6)	As Louisa recites her marriage vows, Chuuya feels someone burning a hole in the side of his head. "Place me like a seal over your heart, like a seal on your arm, for love is as strong as death, its jealousy as enduring as the grave"	99:135	0:232	Place me like a seal over your heart
10_(Song of songs 8:6)	Did you know that Jesus is wearing a necklace with your name on it? That’s how much you are on his heart right now! How do I know? Because we are his beloved! "Place me like a seal over your heart"	160:196	0:197	Place me like a seal over your heart
11_(Song of songs 8:6)	Commitment to your spouse as described by the bride in Song of Solomon 8:6... sounds like a woman I love......  "Place me like a seal over your heart, like a seal on your arm; for love is as strong as death, its jealousy unyielding as the grave."	113:149	0:246	Place me like a seal over your heart
27_(Zechariah 10:1)	We need rain... We pray for rain... God hears us and answers... Ask the Lord for rain in the springtime	64:103	0:103	Ask the Lord for rain in the springtime
28_(Zechariah 10:1)	Uff... So sad, rain to lift my spirits! "Ask the LORD for rain in the springtime". Thanks	41:80	0:89	Ask the Lord for rain in the springtime
29_(Zechariah 10:1)	Ask the Lord for rain in the springtime; it is the LORD who sends the thunderstorms. He gives showers of rain to all people, and plants of the field to everyone. Happy rainy season dear farmers, today presents a great opportunity to feed this universe again.	0:39	0:258	Ask the Lord for rain in the springtime
30_(Philippians 4:13)	I can do all things through Christ who brought about YouTube, like cleaning out my hot water heater like a professional 💁🏽‍♀️💁🏽‍♀️	0:34	0:130	I can do all things through Christ
31_(Philippians 4:13)	I can do all things through Christ and a YouTube instructional video. 🙌	0:34	0:69	I can do all things through Christ
32_(1 Timothy 6:10)	#Bitcoin is a wonderful tool to hinder the easy access to abuse of money. For the Love OF money is the root of all kinds of evils.	74:130	0:130	For the love of money is the root of all kinds of evils
33_(1 Timothy 6:10)	For the love of money is the root of all kinds of evils, and fiat money itself is evil. Bitcoin is better money.	0:55	0:112	For the love of money is the root of all kinds of evils
34_(Matthew 6:9)	In the New Testament it is stated that Jesus taught his followers to pray to God as Follows: Our Father in heaven, hollowed by your name, may your will be done on earth as it is in heaven...	93:136	0:190	Our Father in heaven, hollowed by your name
35_(Matthew 6:9)	Don't know what to say when you pray to God? This was the beginning of the prayer example, a sort of outline if you will, that Jesus taught His people to pray: "Pray, then, in this way: 'Our Father in heaven, Hallowed be Your name."	186:230	0:232	Our Father in heaven, hollowed by your name
36_(Mark 11:24)	Therefore, I tell you, whatever you ask for in prayer, believe that you have received it, and it will be yours. Join our Friday strategic prayer service tonight at 6:30PM. Come along with someone let's pray, there shall be a move of God in your life. See you🙌	0:110	0:259	Therefore, I tell you, whatever you ask for in prayer, believe that you have received it, and it will be yours
37_(Mark 11:24)	Therefore, I tell you, whatever you ask for in prayer, believe that you have received it, and it will be yours. It's called the Audacity of Prayer. Praying with an expectation of an answer. Come let's pray.	0:110	0:206	Therefore, I tell you, whatever you ask for in prayer, believe that you have received it, and it will be yours
