lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
Seek and you will find				296_(Matthew 7:7)-c1		Read the Ethiopian Bible. Please don't look to USA for any type of truth. It's been nothing but lies and hypocrisy from the beginning. But Yah is Truth, Yeshua is truth. Seek and you will find. Seek in the right places.	170:192	0:219
Seek and you will find				286_(Matthew 7:7)-c1		Ask and it will be given to you; seek and you will find; knock and the door will be opened to you. For everyone who asks receives; the one who seeks finds; and to the one who knocks, the door will be opened.	33:55	0:207
Seek and you will find				300_(Matthew 7:7)-c1		Seek and you will find. Turn your prayers into conversations with God. Trust in His promise and the doors of blessings will swing wide open for you. 💜	0:22	0:150
Seek and you will find				294_(Matthew 7:7)-c1		Seek and you will find. Many have. In fact, the vast majority of last and present humans believe God exists. The evidence is everywhere and has been so long. That's why so many believe and why Christianity is the fastest growing religion in the world!	0:22	0:251
Seek and you will find				289_(Matthew 7:7)-c1		"All except the God of the Bible, the God of Abraham, Isaac, and Jacob, He is real. I was from a communist country, brainwashed all my life before I came to America. But by God's grace, He led me to know him. ""Seek and you will find; knock, and the door will open for you."""	209:231	0:272
Seek and you will find				299_(Matthew 7:7)-c1		That's what they told you. Your messiah asks you to seek Him. So go seek and you will find it's a graven image	68:90	0:110
Seek and you will find				298_(Matthew 7:7)-c1		I believe in you buddy. You are a seeker: so seek and you will find the truth ✌️ Go ahead. You have the blessings of 100 crore sanatanis. Seek truth. You will get there. Open your eyes	45:67	0:184
Seek and you will find				286_(Matthew 7:7)-c2		You obviously haven't read the Pfizer documents. Follow the link, watch and listen, then tell me that everything that happened with Covid-19 was and is above board. There are many papers around from renowned climate scientists which provide an alternative view. Seek and you will find	262:284	0:284
Seek and you will find				296_(Matthew 7:7)-c2		15 YEAR OLD boy dies of a heart attack 2 days after taking the Pfizer vaccine.  I get heaps of stories like this daily – too many to put here – seek and you will find them.	144:166	0:172
Seek and you will find				295_(Matthew 7:7)-c1		If you need evidence start looking. Seek and you will find	36:58	0:58
Seek and you will find				295_(Matthew 7:7)-c2		Can you find the cats? Seek and you will find. Your generosity goes a long way! Help us continue to provide and care for all the animals at the Ark!	23:45	0:148
Seek and you will find				297_(Matthew 7:7)-c1		Ask and you shall receive, seek and you will find. Our God is a generous father eager to give good gifts to His praying children.	27:49	0:129
Seek and you will find				289_(Matthew 7:7)-c2		The science is difficult for non scientists like me to understand. That's why I like @fact_covid . Seek and you will find reliable science, often explained in an easier to digest fashion. Don't despair, the vaccines will be a game changer. We are on our way.	99:121	0:258
Seek and you will find				300_(Matthew 7:7)-c2		Seek and you will find the real truths and facts about covid	0:22	0:60
Seek and you will find				285_(Matthew 7:7)-c2		They are trusting the authorities, following them blindly off the cliff. Time to wake the fuck up or die pre mature. Information are out there, seek and you will find. If you dont bother or critizise other who have found the information you are not worthy a life.	144:166	0:263
Seek and you will find				291_(Matthew 7:7)-c2		It says the Covid 19 vaccines destroy peoples immune systems. Seek and you will find homie	62:84	0:90
Seek and you will find				290_(Matthew 7:7)-c1		Heavenly Father, Help me to stay focused on what is important in my life at this moment. That is to build your Kingdom. Removed all distraction and anything not from u. Ask, and it will be given to you; seek and you will find; knock, and it will be opened to you 	203:225	0:263
Seek and you will find				299_(Matthew 7:7)-c2		Seek and you will find: Omicron is spreading around the world, but you can only find what you search for. Genomic sequencing remains severely limited across much of the world: 60% of covid-19 sequences in 2021 have taken place in 3 countries (US, GB & DE)	0:22	0:255
Seek and you will find				293_(Matthew 7:7)-c1		That's cool Liv! Jesus said Ask and you shall receive, seek and you will find, knock and the door will be opened to you. I pray that when you DO have a family, that Christ is the center of it. He's the only way to hold things together now days	55:77	0:243
Seek and you will find				294_(Matthew 7:7)-c2		There is always a way to solve a problem. The solution comes with the problem. Just seek and you will find it If you don't stop seeking. It will show up at the perfect time.	84:106	0:173
Seek and you will find				290_(Matthew 7:7)-c2		There are ciders in Ireland actually being made from 100% apple juice, seek and you will find them.	71:93	0:99
Seek and you will find				292_(Matthew 7:7)-c2		Seek and you will find. Did you demand the actual result data of the vaccine trials as well?	0:22	0:92
Seek and you will find				288_(Matthew 7:7)-c1		Let's not forget that Yeshua is the only way to eternal life. Seek and you will find him.	62:84	0:89
Seek and you will find				291_(Matthew 7:7)-c1		All NDE's that last a decent amount of time encounter the God of the bible or Jesus. I've also heard multiple testimonies of Muslims encountering Jesus and giving their lives to Christ. I'm sorry I can't show you the truth. The truth just is. Seek and you will find.	243:265	0:266
Seek and you will find				287_(Matthew 7:7)-c1		Theres nothing God cant do!!! Seek and you will find answers	30:52	0:60
Seek and you will find				287_(Matthew 7:7)-c2		Have you not been on the same Twitter I have? I have seen everything everywhere pertaining to covid. Usually misinformation from Walensky or CDC pushed through my feed. I have also seen vax injury stories and covid injury stories. Seek and you will find the truth	231:253	0:263
Seek and you will find				293_(Matthew 7:7)-c2		Another medical professional has died with his 2 doses of Sinovac vaccine. The great secret is the DNA of the human being, body vibrations. You seek and you will find	140:162	0:166
Seek and you will find				298_(Matthew 7:7)-c2		Seek and you will find - except good news from Govt.	0:22	0:52
Seek and you will find				292_(Matthew 7:7)-c1		Seek and you will find. This is the promise of God. It's not dependent upon man's misinformation or wrong interpretation of Scripture.	0:22	0:134
Seek and you will find				297_(Matthew 7:7)-c2		@ChrisMasonBBC very interesting isn't it. seek and you will find, but i can't find anything by the bbc's medical correspondents about the controversy over the 1 jab strategy for the pfizer vaccine, following the sky news 'real world' report featuring the the head of Israel's	42:64	0:275
Seek and you will find				288_(Matthew 7:7)-c2		Seek and you will find - get on some vaccine injury sites and died suddenly news sites and you will find the studies	0:22	0:116
Seek and you will find				285_(Matthew 7:7)-c1		"Wow, sounds like a serious attempt. :) He is still patiently waiting for his child to call out to Him anyway. ""Seek and you will find, knock and the door will be opened, ask and it shall be given."" A sincere question from a sincere heart will open a realm you didn't know existed. Kinda like Neo in the Matrix. God wants you to wake up, but He will NEVER force you. I always challenge everyone who asumes in their own way that God is not real. Just ask Him. Really ask Him, God, if your are there, reveal yourself to me. It normally is not instantaneous, but its always MIND BLOWING."	111:133	0:583
